# Drift report generated 2026-01-30T01:21:55.277541
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter3_chapter_3_sin_and_redemption.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/spanish/pipeline2/backtranslation/chapters/chapter3_chapter_3_sin_and_redemption.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9805","HIGH","Scripture tells us many stories about sin-its causes, its consequences, and how God responds to it. To sin is to fall short of God’s standard, or ‘miss the mark,’ a term from archery describing an archer’s failure to hit the target.","The Scriptures tell us many stories about sin-its causes, its consequences, and how God responds to it. To sin is to fall short of God’s standard, or to ‘miss the mark,’ an archery term that describes an archer’s failure to hit the target."
"2","0.9882","HIGH","Both Old and New Testaments use various terms for sin, each highlighting aspects like its type, severity, intent, victim, nature, and required punishment. There are several broad categorizations that the scriptures use to describe sin:","Both the Old and New Testaments use various terms for sin, each highlighting aspects such as its type, severity, intent, victim, nature, and the punishment required. There are several broad categorizations that the Scriptures use to describe sin:"
"3","0.9739","HIGH","- Sin against God, sin against man, sin against self","- Sin against God, sin against man, sin against oneself"
"4","1.0","HIGH","- Intentional sin, unintentional sin","- Intentional sin, unintentional sin"
"5","0.9897","HIGH","- Sin of a single moment, sin habitually committed","- Sin of a single moment, sin committed habitually"
"6","0.8219","LOW","- Sin requiring severe punishment like death, sin requiring financial restitution","- Sin that requires severe punishment such as death, sin that requires monetary restitution"
"7","0.9872","HIGH","In our modern criminal justice systems, we have similar distinctions: degrees of crime, premeditated or crimes of passion, crimes requiring financial restitution, or incarceration, or even capital punishment. An act might be both a crime and a sin, but crime is man's categorization, sin is God’s.","In our modern criminal justice systems, we have similar distinctions: degrees of offense, premeditated or crimes of passion, offenses that require monetary restitution, or imprisonment, or even capital punishment. An act can be both a crime and a sin, but crime is man’s categorization, sin is God’s."
"8","0.9888","HIGH","The various Greek and Hebrew words for sin have a high level of overlap. All sin is broadly described under the umbrella term ‘missing the mark’, ***Hamartia*** in Greek, and ***Chata’*** in Hebrew. This umbrella term is used for the most severe sins, adultery, murder, but also less severe sins, like showing partiality to wealthy people in our church gatherings (<span class=""x-scripture"" data-book=""JAS"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""9"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">James 2:9</span>).","The various Greek and Hebrew words for sin have a high degree of overlap. All sin is broadly described under the general term ‘miss the mark,’ ***Hamartia*** in Greek, and ***Chata’*** in Hebrew. This umbrella term is used for the most serious sins, adultery, murder, but also for less serious sins, such as showing partiality toward wealthy people in our church gatherings (<span class=""x-scripture"" data-book=""JAS"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""9"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">James 2:9</span>)."
"9","0.9918","HIGH","Here are some words the Scriptures use for sin. They help us understand how serious sin is-and how deeply we need God's grace.","Here are some words that the Scriptures use for sin. They help us understand how serious sin is-and how deeply we need God’s grace."
"10","1.0","HIGH","[See Table 2](../tables/table2.md)","[See Table 2](../tables/table2.md)"
"11","0.9731","HIGH","## Sin has Consequences","## Sin has consequences"
"12","1.0","HIGH","Every sin brings consequences-sometimes immediate, sometimes delayed, but always real.","Every sin brings consequences-sometimes immediate, sometimes delayed, but always real."
"13","0.9381","HIGH","Let's consider Cain’s murder of his brother Able in Genesis 4.","Let us consider the murder that Cain committed against his brother Abel in Genesis 4."
"14","1.0","HIGH","<span class=""x-scripture"" data-book=""GEN"" data-chapter=""4"" data-lang=""en"" data-type=""quote"" data-verses=""1-16"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""GEN"" data-chapter=""4"" data-lang=""en"" data-type=""quote"" data-verses=""1-16"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
