# Drift report generated 2025-10-08T07:14:21.034518
# Source file: source/AUTOGEN/chapters/chapter8_chapter_8_holy_spirit_comforter_guide_and_power.md
# Back translation: backtranslation/chapter8_chapter_8_holy_spirit_comforter_guide_and_power.md
"id","similarity","translation_quality","source","back_translation"
"1","0.996","HIGH","The Holy Spirit is not a new spirit but is of God and has been with God since the very beginning. In <span class=""x-scripture"" data-type=""ref"" data-book=""Genesis"" data-chapter=""1"" data-verses=""2"" data-lang=""en"" data-version=""NKJV"">Genesis 1:2</span> the Spirit of God is hovering on the waters during creation. In <span class=""x-scripture"" data-type=""ref"" data-book=""Nehemiah"" data-chapter=""9"" data-verses=""20"" data-lang=""en"" data-version=""NKJV"">Nehemiah 9:20</span>, the scriptures say that it was the Spirit who instructed the people in the wilderness. It was by this same Holy Spirit that God anointed the kings, judges, and prophets in the Old Testament. In <span class=""x-scripture"" data-type=""ref"" data-book=""Joel"" data-chapter=""2"" data-verses=""28-29"" data-lang=""en"" data-version=""NKJV"">Joel 2:28-29</span> the Spirit is promised to be poured out on all mankind. It was by this same Holy Spirit that God raised Jesus from the dead, and now dwells in us (<span class=""x-scripture"" data-type=""ref"" data-book=""Romans"" data-chapter=""8"" data-verses=""11"" data-lang=""en"" data-version=""NKJV"">Romans 8:11</span>). There is only one Holy Spirit, and He has always been the same. How He works with people has looked different at different times, but His heart has never changed.","The Holy Spirit is not a new spirit but is of God and has been with God since the very beginning. In <span class=""x-scripture"" data-type=""ref"" data-book=""Genesis"" data-chapter=""1"" data-verses=""2"" data-lang=""en"" data-version=""NKJV"">Genesis 1:2</span> the Spirit of God was hovering over the waters during creation. In <span class=""x-scripture"" data-type=""ref"" data-book=""Nehemiah"" data-chapter=""9"" data-verses=""20"" data-lang=""en"" data-version=""NKJV"">Nehemiah 9:20</span>, Scripture says that it was the Spirit who taught the people in the wilderness. It was by that same Holy Spirit that God anointed kings, judges, and prophets in the Old Testament. In <span class=""x-scripture"" data-type=""ref"" data-book=""Joel"" data-chapter=""2"" data-verses=""28-29"" data-lang=""en"" data-version=""NKJV"">Joel 2:28-29</span> the Spirit is promised to be poured out on all mankind. It was by that same Holy Spirit that God raised Jesus from the dead, and He now dwells in us (<span class=""x-scripture"" data-type=""ref"" data-book=""Romans"" data-chapter=""8"" data-verses=""11"" data-lang=""en"" data-version=""NKJV"">Romans 8:11</span>). There is only one Holy Spirit, and He has always been the same. The way He works with people has appeared different at different times, but His heart has never changed."
"2","1.0","HIGH","Jesus gave His disciples, and all of us, the powerful promise of the Holy Spirit.","Jesus gave His disciples, and all of us, the powerful promise of the Holy Spirit."
"3","1.0","HIGH","<span class=""x-scripture"" data-type=""quote"" data-book=""John"" data-chapter=""14"" data-verses=""16-18"" data-lang=""en"" data-version=""NKJV"">","<span class=""x-scripture"" data-type=""quote"" data-book=""John"" data-chapter=""14"" data-verses=""16-18"" data-lang=""en"" data-version=""NKJV"">"
"4","1.0","HIGH","> **<u>John 14:16-18</u>** (NKJV) **16** *And I will pray the Father, and He will give you another Helper, that He may abide with you forever-**17** the Spirit of truth, whom the world cannot receive, because it neither sees Him nor knows Him; but you know Him, for He dwells with you and will be in you.* ***18** I will not leave you orphans; I will come to you.*","> **<u>John 14:16-18</u>** (NKJV) **16** *And I will pray the Father, and He will give you another Helper, that He may abide with you forever-**17** the Spirit of truth, whom the world cannot receive, because it neither sees Him nor knows Him; but you know Him, for He dwells with you and will be in you.* ***18** I will not leave you orphans; I will come to you.*"
"5","1.0","HIGH","</span>","</span>"
"6","0.9774","HIGH","While Jesus walked the earth in His physical body, He was limited as we are, His body needed the same things our bodies need: rest, water, food, sleep, etc. This limitation not only impacted Jesus, but impacted His followers, as He could only be in one place at a time. Oftentimes as Jesus traveled, He was pressed about by a huge crowd, they would try to call out to Him and touch Him. Jesus often needed to spend time with His heavenly Father to recharge and pray.","When Jesus was walking the earth in His physical body, He had limitations like we do; His body needed the same things our bodies need: rest, water, food, sleep, etc. This limitation affected not only Jesus, but also His followers, because He could be in only one place at a time. Often, as Jesus was traveling, He was pressed by large crowds; they tried to call to Him and to touch Him. Jesus often needed to spend time with His heavenly Father to be renewed and to pray."
"7","0.9702","HIGH","For the work of the Father to be multiplied Jesus needed to raise up disciples, and for them to carry on this work. Jesus knew that a crucial aspect of His ministry on the earth depended upon Him connecting with and abiding with His Father. In fact, Jesus said He could do nothing unless His Father did it through Him and showed Him to do it (<span class=""x-scripture"" data-type=""ref"" data-book=""John"" data-chapter=""5"" data-verses=""19"" data-lang=""en"" data-version=""NKJV"">John 5:19</span>). God in His wisdom sent His Holy Spirit to dwell within us, to lead us and guide us, empowering us to do the work of the Father.","For the Father's work to be multiplied, Jesus needed to raise up disciples, and for them to continue this work. Jesus knew that a crucial aspect of His ministry on earth depended on His being united with and abiding in fellowship with His Father. Indeed, Jesus said He could do nothing unless His Father did it through Him and showed Him to do it (<span class=""x-scripture"" data-type=""ref"" data-book=""John"" data-chapter=""5"" data-verses=""19"" data-lang=""en"" data-version=""NKJV"">John 5:19</span>). God, in His wisdom, sent His Holy Spirit to dwell in us, to guide us and show us the way, giving us power to do the Father's work."
"8","0.9908","HIGH","## When was the Holy Spirit Sent to All Believers?","## When Was the Holy Spirit Sent to All Believers?"
"9","1.0","HIGH","Jesus said:","Jesus said:"
"10","0.997","HIGH","<span class=""x-scripture"" data-type=""quote"" data-book=""John"" data-chapter=""16"" data-verses=""7"" data-lang=""en"" data-version=""NKJV"">","<span class=""x-scripture"" data-type=""quote"" data-book=""John"" data-chapter=""16"" data-verses=""7"" data-lang=""en"" data-version=""NKJV"">"
