# Drift explanation generated 2025-12-30T02:30:32.771817
# Source drift file: /Users/andrew/repo/kli-translation-pipeline_principles-of-faith/urdu/pipeline2/analysis/chapters/drift_report_chapter11_chapter_11_baptisms_water_and_spirit_vs_chapter11_chapter_11_baptisms_water_and_spirit.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"1","0.8931","MEDIUM","no","paraphrase","Both paragraphs convey the same idea that modern baptism is viewed separately from its Jewish roots and is primarily understood in terms of water baptism and the baptism of the Holy Spirit. The wording is slightly different, but the core meaning remains unchanged.","Baptism in our modern age, separated from the Jewish roots, is typically only thought of in terms of water baptism, and the Holy Spirit baptism (Pentecost).","In our modern era, baptism, which is considered separate from Jewish roots, is generally understood only in terms of water baptism and the baptism of the Holy Spirit (Pentecost)."
"8","0.9104","MEDIUM","yes","doctrinal","The term 'Old Covenant' in the original emphasizes the theological concept of a covenant relationship with God, while 'Old Testament' in the back-translation shifts the focus to a historical document, potentially altering the doctrinal significance of the washings discussed.","## Old Covenant Washings - Historical Context","## Old Testament Washings - Historical Background"
"27","0.8838","MEDIUM","no","paraphrase","The phrases 'Holy Spirit Baptism' and 'Baptism of the Holy Spirit' convey the same theological concept, referring to the act of being baptized by the Holy Spirit, without any change in meaning.","## Holy Spirit Baptism","## Baptism of the Holy Spirit"
"36","0.8753","MEDIUM","no","paraphrase","The back-translated paragraph retains the same conceptual meaning as the original, simply rephrasing it without altering any doctrinal, logical, or intentional aspects.","### Spirit Within vs Spirit Upon","### The Spirit within vs. the Spirit upon"
"38","0.8735","MEDIUM","no","paraphrase","The terms 'Scriptural Basis' and 'Biblical basis' convey the same concept, referring to the foundational texts of faith, without altering the doctrinal meaning, logical relationship, or intent.","Scriptural Basis:","Biblical basis:"
"63","0.8729","MEDIUM","yes","doctrinal","The original emphasizes the act of receiving as a result of asking and seeking by faith, while the back-translation focuses solely on the actions of asking, seeking, and finding, omitting the aspect of receiving and potentially altering the theological implication of faith's role in the process.","###  **2. Ask, Seek, and Receive by Faith**","###  **2. By faith ask, seek, and find**"
"65","0.9001","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and intent as the original, with only a slight variation in phrasing that does not alter the overall message.","- **<span class=""x-scripture"" data-book=""ACT"" data-chapter=""8"" data-lang=""en"" data-type=""ref"" data-verses=""15-17"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Acts 8:15-17</span>** - Peter and John prayed and **laid hands** on believers, and they **received the Holy Spirit**.","- **<span class=""x-scripture"" data-book=""ACT"" data-chapter=""8"" data-lang=""en"" data-type=""ref"" data-verses=""15-17"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Acts 8:15-17</span>** - Peter and John prayed and **laid hands on the believers**, and they **received the Holy Spirit**۔"
"73","0.9157","MEDIUM","no","paraphrase","The back-translation maintains the same doctrinal meaning and intent as the original text, with only a minor difference in punctuation that does not affect the overall message.","> **<u>Acts 8:17</u>** (NKJV)\\\\n>\\\\n> Then they laid hands on them, and they received the Holy Spirit.\\\\n>","> **<u>Acts 8:17</u>** (NKJV)\\\\n>\\\\n> Then they laid hands on them، and they received the Holy Spirit۔\\\\n>"
"76","0.919","MEDIUM","no","paraphrase","The back-translation maintains the same doctrinal meaning and intent as the original, simply using slightly different phrasing without altering the core message.","> **<u>Acts 19:6</u>** (NKJV)\\\\n>\\\\n> And when Paul had laid hands on them, the Holy Spirit came upon them, and they spoke with tongues and prophesied.\\\\n>","> **<u>Acts 19:6</u>** (NKJV)\\\\n>\\\\n> And when Paul laid hands on them، the Holy Spirit came upon them، and they began to speak in tongues and to prophesy۔\\\\n>"
"78","0.9039","MEDIUM","no","paraphrase","The back-translated title simplifies the original by removing the definite article 'The,' but it retains the same conceptual meaning regarding the gifts attributed to the Holy Spirit.","## The Gifts of the Holy Spirit","## Gifts of the Holy Spirit"
"79","0.863","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and logical relationship as the original, simply rephrasing it without altering the intent or core concepts.","When the Holy Spirit was poured out, and people baptized in the Holy Spirit, oftentimes manifestations of the Holy Spirit accompanied it.","When the Holy Spirit was poured out، and people were baptized in the Holy Spirit، there were often manifestations of the Holy Spirit along with it۔"
"82","0.9184","MEDIUM","no","paraphrase","The back-translation maintains the same meaning as the original, simply rephrasing it without altering the doctrinal content or intent.","- Discussed in the chapter on the Church.","- This is discussed in the chapter on the Church."
"84","0.9147","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, simply rephrasing it without altering the doctrinal content or intent.","- Discussed in the chapter on the church.","- This is discussed in the chapter on the Church."
"86","0.8676","MEDIUM","no","paraphrase","Both paragraphs convey the same idea that a discussion is taking place, with no significant change in meaning or intent.","- Discussed here.","- It is discussed here."
