# Drift report generated 2026-01-30T02:19:50.214834
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter3_chapter_3_sin_and_redemption.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/hindi/pipeline2/backtranslation/chapters/chapter3_chapter_3_sin_and_redemption.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9778","HIGH","Scripture tells us many stories about sin-its causes, its consequences, and how God responds to it. To sin is to fall short of God’s standard, or ‘miss the mark,’ a term from archery describing an archer’s failure to hit the target.","The Scriptures tell us many stories about sin-its causes, its consequences, and how God responds to it. To sin is to fall short of God's standard, or to 'miss the mark,' an archery term that describes an archer failing to hit the target."
"2","0.9361","HIGH","Both Old and New Testaments use various terms for sin, each highlighting aspects like its type, severity, intent, victim, nature, and required punishment. There are several broad categorizations that the scriptures use to describe sin:","Both the Old and New Testaments use a variety of words for sin, highlighting aspects such as its types, severity, disposition, victim, nature, and expected punishment. The Scriptures use several broad classifications to describe sin:"
"3","0.9206","HIGH","- Sin against God, sin against man, sin against self","- Sin against God, sin against other people, sin against oneself"
"4","0.9174","MEDIUM","- Intentional sin, unintentional sin","- Deliberate sin, unintentional sin"
"5","0.8352","LOW","- Sin of a single moment, sin habitually committed","- Momentary sin, habitual sin"
"6","0.7315","CRITICAL","- Sin requiring severe punishment like death, sin requiring financial restitution","- Sin for which a severe penalty such as death is expected, sin for which financial restitution is expected"
"7","0.9646","HIGH","In our modern criminal justice systems, we have similar distinctions: degrees of crime, premeditated or crimes of passion, crimes requiring financial restitution, or incarceration, or even capital punishment. An act might be both a crime and a sin, but crime is man's categorization, sin is God’s.","Our modern criminal justice systems make similar distinctions: degrees of crimes, crimes that are premeditated or committed in passion, crimes that require financial restitution, or imprisonment, or even the death penalty. An act can be both a crime and a sin; but crime is a human classification, sin is God's."
"8","0.9718","HIGH","The various Greek and Hebrew words for sin have a high level of overlap. All sin is broadly described under the umbrella term ‘missing the mark’, ***Hamartia*** in Greek, and ***Chata’*** in Hebrew. This umbrella term is used for the most severe sins, adultery, murder, but also less severe sins, like showing partiality to wealthy people in our church gatherings (<span class=""x-scripture"" data-book=""JAS"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""9"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">James 2:9</span>).","There is a great deal of overlap among the Greek and Hebrew words used for sin. All sin is broadly placed under the umbrella of 'missing the mark,' in Greek ***Hamartia*** and in Hebrew ***Chata’***. This umbrella term is used for the most serious sins, such as adultery and murder, and also for less serious sins, such as showing favoritism to the rich in our church assemblies (<span class=""x-scripture"" data-book=""JAS"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""9"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">James 2:9</span>)."
"9","0.9846","HIGH","Here are some words the Scriptures use for sin. They help us understand how serious sin is-and how deeply we need God's grace.","Here are some of the words the Scriptures use for sin. These help us understand how serious sin is—and how deeply we need God's grace."
"10","1.0","HIGH","[See Table 2](../tables/table2.md)","[See Table 2](../tables/table2.md)"
"11","0.9731","HIGH","## Sin has Consequences","## Sin has consequences"
"12","1.0","HIGH","Every sin brings consequences-sometimes immediate, sometimes delayed, but always real.","Every sin brings consequences-sometimes immediate, sometimes delayed, but always real."
"13","0.9571","HIGH","Let's consider Cain’s murder of his brother Able in Genesis 4.","Let us consider Cain's murder of his brother Abel in Genesis 4."
"14","1.0","HIGH","<span class=""x-scripture"" data-book=""GEN"" data-chapter=""4"" data-lang=""en"" data-type=""quote"" data-verses=""1-16"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""GEN"" data-chapter=""4"" data-lang=""en"" data-type=""quote"" data-verses=""1-16"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"15","0.999","HIGH","> **<u>Genesis 4:1-16</u>** (NKJV)\\n>\\n> Now Adam knew Eve his wife, and she conceived and bore Cain, and said, ""I have acquired a man from the LORD.""\\n>\\n> Then she bore again, this time his brother Abel. Now Abel was a keeper of sheep, but Cain was a tiller of the ground.\\n>\\n> And in the process of time it came to pass that Cain brought an offering of the fruit of the ground to the LORD.\\n>\\n> Abel also brought of the firstborn of his flock and of their fat. And the LORD respected Abel and his offering,\\n>\\n> but He did not respect Cain and his offering. And Cain was very angry, and his countenance fell.\\n>\\n> So the LORD said to Cain, ""Why are you angry? And why has your countenance fallen?\\n>\\n> If you do well, will you not be accepted? And if you do not do well, sin lies at the door. And its desire is for you, but you should rule over it.""\\n>\\n> Now Cain talked with Abel his brother; and it came to pass, when they were in the field, that Cain rose up against Abel his brother and killed him.\\n>\\n> Then the LORD said to Cain, ""Where is Abel your brother?"" He said, ""I do not know. Am I my brother's keeper?""\\n>\\n> And He said, ""What have you done? The voice of your brother's blood cries out to Me from the ground.\\n>\\n> So now you are cursed from the earth, which has opened its mouth to receive your brother's blood from your hand.\\n>\\n> When you till the ground, it shall no longer yield its strength to you. A fugitive and a vagabond you shall be on the earth.""\\n>\\n> And Cain said to the LORD, ""My punishment is greater than I can bear!\\n>\\n> Surely You have driven me out this day from the face of the ground; I shall be hidden from Your face; I shall be a fugitive and a vagabond on the earth, and it will happen that anyone who finds me will kill me.""\\n>\\n> And the LORD said to him, ""Therefore, whoever kills Cain, vengeance shall be taken on him sevenfold."" And the LORD set a mark on Cain, lest anyone finding him should kill him.\\n>\\n> Then Cain went out from the presence of the LORD and dwelt in the land of Nod on the east of Eden.\\n>","> **<u>Genesis 4:1-16</u>** (NKJV)\\n>\\n> Now Adam knew his wife Eve, and she conceived and bore Cain, and said, ""I have acquired a man from the LORD.""\\n>\\n> Then she bore again, this time his brother Abel. Now Abel was a keeper of sheep, but Cain was a tiller of the ground.\\n>\\n> And in the process of time it came to pass that Cain brought an offering of the fruit of the ground to the LORD.\\n>\\n> Abel also brought of the firstborn of his flock and of their fat. And the LORD respected Abel and his offering,\\n>\\n> but He did not respect Cain and his offering. And Cain was very angry, and his countenance fell.\\n>\\n> So the LORD said to Cain, ""Why are you angry? And why has your countenance fallen?\\n>\\n> If you do well, will you not be accepted? And if you do not do well, sin lies at the door. And its desire is for you, but you should rule over it.""\\n>\\n> Now Cain talked with Abel his brother; and it came to pass, when they were in the field, that Cain rose up against Abel his brother and killed him.\\n>\\n> Then the LORD said to Cain, ""Where is Abel your brother?"" He said, ""I do not know. Am I my brother's keeper?""\\n>\\n> And He said, ""What have you done? The voice of your brother's blood cries out to Me from the ground.\\n>\\n> So now you are cursed from the earth, which has opened its mouth to receive your brother's blood from your hand.\\n>\\n> When you till the ground, it shall no longer yield its strength to you. A fugitive and a vagabond you shall be on the earth.""\\n>\\n> And Cain said to the LORD, ""My punishment is greater than I can bear!\\n>\\n> Surely You have driven me out this day from the face of the ground; I shall be hidden from Your face; I shall be a fugitive and a vagabond on the earth, and it will happen that anyone who finds me will kill me.""\\n>\\n> And the LORD said to him, ""Therefore, whoever kills Cain, vengeance shall be taken on him sevenfold."" And the LORD set a mark on Cain, lest anyone finding him should kill him.\\n>\\n> Then Cain went out from the presence of the LORD and dwelt in the land of Nod on the east of Eden.\\n>"
"16","1.0","HIGH","</span>","</span>"
"17","0.9528","HIGH","Where did Cain miss the mark? (in chronological order)","Where did Cain miss the mark? (chronologically)"
"18","0.9917","HIGH","1.  He failed to offer a proper sacrifice.","1.  He failed to offer the proper sacrifice."
"19","0.8944","MEDIUM","2.  He ignored the warning from Jehovah (God), that sin was waiting to devour him.","2.  He ignored the LORD's (God's) warning that sin was lying in wait at the door to devour him."
