# Drift report generated 2026-01-30T16:23:24.532331
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter4_chapter_4_jesus_the_messiah.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/punjabi/pipeline2/backtranslation/chapters/chapter4_chapter_4_jesus_the_messiah.md
"id","similarity","translation_quality","source","back_translation"
"1","0.927","HIGH","Building on our study of sin, we concluded that sin exacts a serious price, against those whom sin is committed and must be restored, and for those who commit sin and must make restitution. The price of sin must be paid. In the Old Testament God established a series of sacrifices performed by priests, individuals, and communities to deal with, resolve, and adjudicate sin.","Continuing our study of sin, we concluded that sin exacts a serious price—upon those against whom sin is committed and for whom restoration is necessary, and upon those who commit sin and must make amends. The price of sin must be paid. In the Old Testament, God established a series of sacrifices that were performed by priests, individuals, and communities to deal with sin, address it, and resolve it।"
"2","0.8929","MEDIUM","Even with all the sacrifices for sin, they still weren’t enough-not because God failed, but because people continued to choose sin. While animal sacrifice could provide limited atonement, no amount of animal sacrifice was able to change the sinful nature of men.","Despite all the sacrifices for sin, they still were not enough—not because God failed, but because people kept choosing sin. While the sacrifice of animals could provide atonement to some extent, no amount of animal sacrifice could change the sinful nature of man।"
"3","0.9661","HIGH","God had a wonderful plan, the <u>Messiah</u> (in Hebrew ***Mashiach,*** pronounced *Mah-shee-ahkh -* **H4899**) also known as the <u>Christ</u> (in Greek ***Christos,*** pronounced *Khris-tos* - **G5547**) meaning “Anointed one""; someone consecrated for a special role (e.g., king, priest, or deliverer).","God had a remarkable plan, the <u>Messiah</u> (in Hebrew, ***Mashiach,*** pronounced *Mah-shee-ahkh -* **H4899**) also called the <u>Christ</u> (in Greek, ***Christos,*** pronounced *Khris-tos* - **G5547**) meaning “the Anointed One""; a person set apart for a special role (e.g., a king, priest, or deliverer)।"
"4","0.9009","MEDIUM","To understand who Jesus is, it helps to look at what people in His time were hoping the Messiah would be. These expectations shaped how they viewed Jesus and, in many cases, why they struggled to recognize Him as the fulfillment of God’s plan.","To understand who Jesus is, it is helpful to see what people of his time expected of the Messiah. These expectations shaped how they viewed Jesus and, in many cases, why they found it difficult to recognize him as the fulfillment of God’s plan।"
"5","1.0","HIGH","## Historical Context","## Historical Context"
"6","0.9763","HIGH","The Jewish people had long awaited a coming Messiah. Jewish beliefs about the Messiah during the time just before Jesus were shaped by Old Testament prophecies, the interpretations of which were diverse and not universally agreed upon. Most Jews expected the Messiah to be a political and military leader who would deliver Israel from foreign oppression (primarily Roman rule) and restore the Davidic kingdom. Here’s an overview of common Messianic expectations and how they aligned (or did not align) with biblical prophecy:","The Jewish people had long been waiting for the coming Messiah. In the period just before Jesus, Jewish ideas about the Messiah were shaped by Old Testament prophecies, whose interpretations varied and were not universally agreed upon. Many Jews expected the Messiah to be a political and military leader who would deliver Israel from foreign oppression (especially Roman rule) and restore the Davidic kingdom. Here is an overview of common messianic expectations and how they did (or did not) align with biblical prophecy:"
"7","0.9812","HIGH","### Common Jewish Expectations of the Messiah Before Jesus","### Common Jewish Expectations about the Messiah before Jesus"
"8","0.9999","HIGH","### **1. A Political and Military Deliverer**","### **1. A Political and Military Deliverer**"
"9","0.9346","HIGH","- **Belief:** The Messiah would be a king like David, leading Israel in a victorious revolt against foreign powers and restoring Israel's independence.","- **Belief:** The Messiah would be a king like David, who would lead a victorious revolt against foreign powers and reestablish Israel’s independence।"
"10","0.9382","HIGH","- **Scriptures Referenced:** <span class=""x-scripture"" data-book=""ISA"" data-chapter=""9"" data-lang=""en"" data-type=""ref"" data-verses=""6-7"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Isaiah 9:6-7</span>, <span class=""x-scripture"" data-book=""JER"" data-chapter=""23"" data-lang=""en"" data-type=""ref"" data-verses=""5-6"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Jeremiah 23:5-6</span>, <span class=""x-scripture"" data-book=""ZEC"" data-chapter=""9"" data-lang=""en"" data-type=""ref"" data-verses=""9-10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Zechariah 9:9-10</span>.","- **Scripture references:** <span class=""x-scripture"" data-book=""ISA"" data-chapter=""9"" data-lang=""en"" data-type=""ref"" data-verses=""6-7"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Isaiah 9:6-7</span>, <span class=""x-scripture"" data-book=""JER"" data-chapter=""23"" data-lang=""en"" data-type=""ref"" data-verses=""5-6"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Jeremiah 23:5-6</span>, <span class=""x-scripture"" data-book=""ZEC"" data-chapter=""9"" data-lang=""en"" data-type=""ref"" data-verses=""9-10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Zechariah 9:9-10</span>।"
"11","0.9272","HIGH","- **Historical Context:** Jews under the Roman’s rule were oppressed and heavily taxed, leading to hopes for a Messiah who would overthrow Rome and establish a powerful earthly kingdom.","- **Historical context:** Under Roman rule the Jews were oppressed and heavily taxed, which fostered the hope of a Messiah who would overthrow Rome and establish a powerful earthly kingdom।"
"12","0.9117","MEDIUM","- **Truth:** Jesus is a King, but His kingdom is not earthly (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""18"" data-lang=""en"" data-type=""ref"" data-verses=""36"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 18:36</span>). He established a spiritual kingdom through His first coming, but He will return as a conquering King to judge and rule in righteousness, as described in the book of Revelation (<span class=""x-scripture"" data-book=""REV"" data-chapter=""19"" data-lang=""en"" data-type=""ref"" data-verses=""11-16"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Revelation 19:11-16</span>).","- **Reality:** Jesus is a king, but his kingdom is not of this world (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""18"" data-lang=""en"" data-type=""ref"" data-verses=""36"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 18:36</span>)। He established a spiritual kingdom at his first coming, but he will return as the conquering King to judge and reign in righteousness, as described in the book of Revelation (<span class=""x-scripture"" data-book=""REV"" data-chapter=""19"" data-lang=""en"" data-type=""ref"" data-verses=""11-16"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Revelation 19:11-16</span>)।"
"13","0.9777","HIGH","### **2. A Restorer of the Davidic Kingdom**","### **2. Restorer of the Davidic Kingdom**"
"14","0.9435","HIGH","- **Belief:** The Messiah would rebuild the Davidic dynasty and bring about a golden age of prosperity, justice, and peace.","- **Belief:** The Messiah would restore the Davidic dynasty and bring a golden age of prosperity, justice, and peace।"
"15","0.9571","HIGH","- **Scriptures Referenced:** <span class=""x-scripture"" data-book=""2SA"" data-chapter=""7"" data-lang=""en"" data-type=""ref"" data-verses=""12-16"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">2 Samuel 7:12-16</span>, <span class=""x-scripture"" data-book=""AMO"" data-chapter=""9"" data-lang=""en"" data-type=""ref"" data-verses=""11"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Amos 9:11</span>.","- **Scripture references:** <span class=""x-scripture"" data-book=""2SA"" data-chapter=""7"" data-lang=""en"" data-type=""ref"" data-verses=""12-16"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">2 Samuel 7:12-16</span>, <span class=""x-scripture"" data-book=""AMO"" data-chapter=""9"" data-lang=""en"" data-type=""ref"" data-verses=""11"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Amos 9:11</span>।"
"16","0.9405","HIGH","- **Interpretation:** The focus was often on national restoration rather than spiritual renewal.","- **Interpretation:** The focus was often on national restoration rather than spiritual renewal।"
"17","0.9249","HIGH","- **Truth:** Jesus, as the descendant of David, fulfills this promise by establishing an eternal kingdom. While this kingdom is spiritual in nature now, it will culminate in a physical reign during His second coming (<span class=""x-scripture"" data-book=""LUK"" data-chapter=""1"" data-lang=""en"" data-type=""ref"" data-verses=""32-33"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Luke 1:32-33</span>, <span class=""x-scripture"" data-book=""REV"" data-chapter=""20"" data-lang=""en"" data-type=""ref"" data-verses=""4-6"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Revelation 20:4-6</span>).","- **Reality:** As a descendant of David, Jesus fulfills this promise by establishing an everlasting kingdom. Although this kingdom is presently spiritual in nature, it will culminate in a physical reign at his second coming (<span class=""x-scripture"" data-book=""LUK"" data-chapter=""1"" data-lang=""en"" data-type=""ref"" data-verses=""32-33"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Luke 1:32-33</span>, <span class=""x-scripture"" data-book=""REV"" data-chapter=""20"" data-lang=""en"" data-type=""ref"" data-verses=""4-6"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Revelation 20:4-6</span>)।"
"18","0.9906","HIGH","### **3. A Prophet Like Moses**","### **3. A Prophet like Moses**"
"19","0.9564","HIGH","- **Belief:** Some Jews believed the Messiah would be a prophet, like Moses, who would speak directly to God and on His behalf.","- **Belief:** Some Jews believed that the Messiah would be a prophet like Moses, who would speak directly with God and speak on His behalf।"
