# Drift report generated 2025-10-08T07:14:26.398561
# Source file: source/AUTOGEN/chapters/chapter9_chapter_9_the_church_our_role_in_it.md
# Back translation: backtranslation/chapter9_chapter_9_the_church_our_role_in_it.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9459","HIGH","The church is how God shows Himself on earth-through His people, doing His work. We are called to be His body, we are His hands and feet to accomplish His work and purpose. Without our efforts the harvest will remain in the field and will go un-reaped.","The church is how God manifests Himself in the world-through His people, doing His work. We are called to be His body, we are His hands and feet to carry out His work and purposes. Without our efforts the harvest will remain in the field and will not be harvested."
"2","0.9689","HIGH","## Who is the Church?","## Who Is the Church?"
"3","0.959","HIGH","The church, ***Ekklesia** (eh-klee-SEE-ah - **G1577**),* is derived from two Greek words:","The Church, ***Ekklesia** (eh-klee-SEE-ah - **G1577**),* comes from two Greek words:"
"4","1.0","HIGH","- **""Ek""**: ""Out of.""","- **""Ek""**: ""Out of."""
"5","1.0","HIGH","- **""Kaleo""**: ""To call.""","- **""Kaleo""**: ""To call."""
"6","0.9807","HIGH","Together, **Ekklesia** literally means ""called out"" or ""called out assembly."" In ancient Greek city-states, it referred to a gathering of citizens summoned for a specific purpose, such as legislative or judicial meetings. It was a secular term denoting an assembly of people.","Together, **Ekklesia** literally means ""the called"" or ""a called assembly."" In the ancient Greek city-states, it referred to an assembly of citizens gathered for a specific purpose, such as legislative or court meetings. It was a civic term that signified an assembly of people."
"7","0.9788","HIGH","In the New Testament**,** it is used primarily to refer to the community of believers in Jesus Christ. It can denote:","In the New Testament**,** it is used primarily to refer to the community of believers in Jesus Christ. It can mean:"
"8","0.9844","HIGH","- **The Local Church**: A specific gathering of believers in a particular location (e.g., the church at Corinth, Philippi, etc.).","- **The Local Church**: A specific gathering of believers in a given place (e.g., the church at Corinth, Philippi, etc.)."
"9","1.0","HIGH","<span class=""x-scripture"" data-type=""quote"" data-book=""1 Corinthians"" data-chapter=""1"" data-verses=""2"" data-lang=""en"" data-version=""NKJV"">","<span class=""x-scripture"" data-type=""quote"" data-book=""1 Corinthians"" data-chapter=""1"" data-verses=""2"" data-lang=""en"" data-version=""NKJV"">"
"10","0.9875","HIGH","> **<u>1 Corinthians 1:2</u>** (NKJV) ""*To the church of God which is in Corinth.*""","> **<u>1 Corinthians 1:2</u>** (NKJV) ""*To the church of God which is at Corinth.*"""
"11","1.0","HIGH","</span>","</span>"
"12","0.9863","HIGH","- **The Universal Church**: The collective body of all believers across time and space.","- **The Universal Church**: The collective body of all believers across time and place."
"13","1.0","HIGH","<span class=""x-scripture"" data-type=""fragment"" data-book=""Matthew"" data-chapter=""16"" data-verses=""18"" data-lang=""en"" data-version=""NKJV"">","<span class=""x-scripture"" data-type=""fragment"" data-book=""Matthew"" data-chapter=""16"" data-verses=""18"" data-lang=""en"" data-version=""NKJV"">"
"14","1.0","HIGH","> **<u>Matthew 16:18</u>** (NKJV) …*I \\[Jesus\\] will build My church, and the gates of Hades shall not prevail against it.*","> **<u>Matthew 16:18</u>** (NKJV) …*I \\[Jesus\\] will build My church, and the gates of Hades shall not prevail against it.*"
"15","1.0","HIGH","</span>","</span>"
"16","0.9409","HIGH","The church is the people, not the building or location they meet. **Called-Out Ones**: Reflects the idea that Christians are called out of the world and set apart for God's purposes (e.g., <span class=""x-scripture"" data-type=""ref"" data-book=""1 Peter"" data-chapter=""2"" data-verses=""9"" data-lang=""en"" data-version=""NKJV"">1 Peter 2:9</span>) for a specific mission and purpose (the great commission). The church is technically any two or more believers meeting together (<span class=""x-scripture"" data-type=""ref"" data-book=""Matthew"" data-chapter=""18"" data-verses=""20"" data-lang=""en"" data-version=""NKJV"">Matthew 18:20</span>). Typically, the church is organized into regular meetings, with perhaps a set location and time, but wherever two or more people meet in Jesus’ name, that's where the church is!","The church is people, not a building or the place where they meet. **The Called**: It conveys the idea that Christians have been called out of the world and consecrated for God’s purposes (e.g., <span class=""x-scripture"" data-type=""ref"" data-book=""1 Peter"" data-chapter=""2"" data-verses=""9"" data-lang=""en"" data-version=""NKJV"">1 Peter 2:9</span>) for a specific mission and purpose (the Great Commission). Essentially, the church is two or more believers meeting together (<span class=""x-scripture"" data-type=""ref"" data-book=""Matthew"" data-chapter=""18"" data-verses=""20"" data-lang=""en"" data-version=""NKJV"">Matthew 18:20</span>). Typically, the church is organized into regular gatherings, perhaps with a set location and time, but wherever two or more people meet in Jesus’ name, there is the church!"
