# Drift report generated 2026-01-30T15:52:18.172465
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter1_chapter_1_sound_doctrine_matters.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/bengali/pipeline2/backtranslation/chapters/chapter1_chapter_1_sound_doctrine_matters.md
"id","similarity","translation_quality","source","back_translation"
"1","0.8796","MEDIUM","Doctrine simply means the core truths we believe and teach-truths passed on by faithful people of God, rooted in Scripture, and lived out in our daily walk.","By doctrine we simply mean what we believe and teach—the core truths entrusted by God's faithful people, rooted in Scripture, and implemented in our daily lives."
"2","0.858","MEDIUM","When Jesus instructed His church to ‘teach’, He was instructing them to share His doctrine.","When Jesus commanded His Church to “teach,” He told them to teach His doctrine."
"3","1.0","HIGH","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""quote"" data-verses=""18-20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""quote"" data-verses=""18-20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"4","0.9935","HIGH","> **<u>Matthew 28:18-20</u>** (NKJV)\\n>\\n> And Jesus came and spoke to them, saying, ""All authority has been given to Me in heaven and on earth.\\n>\\n> Go therefore and make disciples of all the nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit,\\n>\\n> teaching them to observe all things that I have commanded you; and lo, I am with you always, even to the end of the age."" Amen.\\n>","> **<u>Matthew 28:18-20</u>** (NKJV)\\n>\\n> And Jesus came and spoke with them and said, ""All authority in heaven and on earth has been given to Me.\\n>\\n> Therefore go and make disciples of all nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit,\\n>\\n> teaching them to observe all things that I have commanded you; and behold, I am with you always, to the end of the age."" Amen.\\n>"
"5","1.0","HIGH","</span>","</span>"
"6","0.9652","HIGH","In other words, Jesus is instructing all of us to learn His teachings and to replicate them in others.","In other words, Jesus is instructing all of us to learn His teachings and reproduce them in others."
"7","1.0","HIGH","[See Table 1](../tables/table1.md)","[See Table 1](../tables/table1.md)"
"8","0.9776","HIGH","Jesus is the Way, the Truth, and the Life (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""14"" data-lang=""en"" data-type=""ref"" data-verses=""6"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 14:6</span>), fully embodying God’s truth, wisdom, and revelation. This embodiment, the Word (logos), existed from the beginning and became flesh to dwell among us (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""1"" data-lang=""en"" data-type=""ref"" data-verses=""1"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 1:1</span>, 14). The structured teachings of Jesus is His doctrine (***didaskalia***), in observing (obeying, guarding, protecting) His commands (***entolē)*** we become His disciples (***mathētēs***).","Jesus is the way, the truth, and the life (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""14"" data-lang=""en"" data-type=""ref"" data-verses=""6"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 14:6</span>); He is the full embodiment of God's truth, wisdom, and revelation. This embodiment, that is, the Word (logos), existed from the beginning and took on flesh to dwell among us (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""1"" data-lang=""en"" data-type=""ref"" data-verses=""1"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 1:1</span>, 14). Jesus’ orderly teaching is His doctrine (***didaskalia***); by obeying His commandments (obedience, keeping, guarding) (***entolē)*** we become His disciples (***mathētēs***)."
"9","0.9817","HIGH","Imagine a master architect, the greatest builder in all history, whose vision, knowledge, and wisdom surpass all others. He alone understands the perfect design for an enduring, unshakable structure. His understanding is not derived from others-it is inherent within Him. He is the source of all architectural wisdom, and every sound building finds its origin in His design. This architect represents Jesus, the Logos-the full and complete embodiment of God’s truth, wisdom, and revelation (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""1"" data-lang=""en"" data-type=""ref"" data-verses=""1"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 1:1</span>, <span class=""x-scripture"" data-book=""JHN"" data-chapter=""14"" data-lang=""en"" data-type=""ref"" data-verses=""6"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 14:6</span>).","Imagine a chief architect—the greatest builder in history—whose vision, knowledge, and wisdom surpass all others. Only he understands the perfect design for a lasting, unshakable structure. His understanding is not received from others—it is inherent in Him. He is the source of all architectural wisdom, and the origin of every sturdy building is His design. This architect represents Jesus, the Logos—the full and perfect embodiment of God's truth, wisdom, and revelation (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""1"" data-lang=""en"" data-type=""ref"" data-verses=""1"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 1:1</span>, <span class=""x-scripture"" data-book=""JHN"" data-chapter=""14"" data-lang=""en"" data-type=""ref"" data-verses=""6"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 14:6</span>)."
"10","0.9732","HIGH","To bring His design to life, the architect creates a **detailed blueprint**-a structured plan that contains the principles, proportions, and foundational truths necessary for constructing a building that will stand firm. Without this blueprint, no one could build correctly. This blueprint represents Jesus’ structured teaching, His doctrine (***didaskalia***) — the framework through which divine truth is understood and applied (<span class=""x-scripture"" data-book=""TIT"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""1"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Titus 2:1</span>, <span class=""x-scripture"" data-book=""1TI"" data-chapter=""4"" data-lang=""en"" data-type=""ref"" data-verses=""13"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Timothy 4:13</span>). His doctrine is not merely theoretical knowledge; it is the means by which His wisdom is communicated and preserved so that all who follow Him can build their lives on the right foundation.","To bring His design into reality, the architect creates a detailed blueprint—an orderly plan containing the principles, proportions, and fundamental truths necessary to construct a strong building. Without this blueprint no one can build correctly. This blueprint is Jesus’ orderly teaching, His doctrine (***didaskalia***)—through which divine truth is understood and applied (<span class=""x-scripture"" data-book=""TIT"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""1"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Titus 2:1</span>, <span class=""x-scripture"" data-book=""1TI"" data-chapter=""4"" data-lang=""en"" data-type=""ref"" data-verses=""13"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Timothy 4:13</span>). His doctrine is not mere theoretical knowledge; it is the means by which His wisdom reaches everyone and is preserved, so that those who follow Him can build their lives on the right foundation."
