# Drift explanation generated 2026-01-30T00:09:49.928079
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/farsi/pipeline2/analysis/chapters/drift_report_chapter11_chapter_11_baptisms_water_and_spirit_vs_chapter11_chapter_11_baptisms_water_and_spirit.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"1","0.9021","MEDIUM","no","paraphrase","Both paragraphs convey the same idea that modern understanding of baptism is limited to water baptism and Holy Spirit baptism, while acknowledging the separation from Jewish roots. The wording is different, but the core meaning remains unchanged.","Baptism in our modern age, separated from the Jewish roots, is typically only thought of in terms of water baptism, and the Holy Spirit baptism (Pentecost).","Baptism in our day, apart from its Jewish roots, is usually considered only as water baptism and the baptism of the Holy Spirit (Pentecost)."
"8","0.9104","MEDIUM","yes","doctrinal","The term 'Old Covenant' specifically refers to the biblical agreement between God and Israel, while 'Old Testament' is a broader term that encompasses the entire collection of texts. This change may alter the theological implications regarding the significance of the washings within the context of the covenant relationship.","## Old Covenant Washings - Historical Context","## Old Testament Washings - Historical Background"
"14","0.9188","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and logical relationship as the original, simply rephrasing the content without altering its intent.","In the New Testament canon there are several baptisms mentioned. We’ve already discussed the baptisms and washings of the Jewish tradition.","Several baptisms are mentioned in the New Testament canon. We have already examined the baptisms and washings of the Jewish tradition."
"17","0.8092","LOW","no","paraphrase","Both phrases refer to the same event in Christian theology, with no significant change in meaning. The original and back-translated versions convey the same concept of Christ's baptism.","## Christ’s Baptism","## The Baptism of Christ"
"27","0.8839","MEDIUM","no","paraphrase","The phrases 'Holy Spirit Baptism' and 'Baptism of the Holy Spirit' convey the same theological concept, referring to the act of being baptized by the Holy Spirit, without any change in doctrinal meaning or intent.","## Holy Spirit Baptism","## Baptism of the Holy Spirit"
"30","0.8784","MEDIUM","yes","doctrinal","The original uses 'foretold,' which implies a prophetic announcement, while 'prophesied' in the back-translation may suggest a broader interpretation of prediction. Additionally, the phrase 'he declared' versus 'he said' can imply a difference in the authority or emphasis of John's statement.","The baptism in the Holy Spirit was foretold by John the Baptist, who declared,","Baptism in the Holy Spirit was prophesied by John the Baptist; he said,"
"36","0.8273","LOW","no","paraphrase","The back-translated paragraph maintains the same conceptual distinction between the 'Spirit within' and the 'Spirit upon us' as the original, without altering the doctrinal meaning or intent.","### Spirit Within vs Spirit Upon","### The Spirit within versus the Spirit upon us"
"38","0.8734","MEDIUM","no","paraphrase","The terms 'Scriptural Basis' and 'Biblical basis' convey the same concept, referring to the foundational texts of Christianity, without altering the doctrinal meaning or intent.","Scriptural Basis:","Biblical basis:"
"39","0.9082","MEDIUM","yes","doctrinal","The back-translation emphasizes that salvation is not based on human works of righteousness, which introduces a doctrinal distinction regarding the source of salvation, whereas the original focuses solely on the act of salvation through the Holy Spirit's renewal.","- *<span class=""x-scripture"" data-book=""TIT"" data-chapter=""3"" data-lang=""en"" data-type=""ref"" data-verses=""5"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Titus 3:5</span>* - “He saved us through the washing of rebirth and renewal by the Holy Spirit.”","- *<span class=""x-scripture"" data-book=""TIT"" data-chapter=""3"" data-lang=""en"" data-type=""ref"" data-verses=""5"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Titus 3:5</span>* - «He saved us, not according to works that we had done in righteousness, but because of the washing of regeneration and renewal of the Holy Spirit.»"
"42","0.8945","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and logical relationships as the original, using slightly different wording but conveying the same concepts regarding regeneration, the indwelling of the Spirit, and the nature of salvation.","This work of regeneration is universal for all believers at salvation and establishes a permanent indwelling of the Spirit. It is not dependent on any outward action, such as water baptism, and guarantees salvation by grace through faith.","This act of new birth is common to all believers at the time of salvation and establishes the permanent indwelling of the Spirit. It is not dependent on any outward act, such as water baptism, and guarantees salvation, which is by grace and through faith."
"44","0.8734","MEDIUM","no","paraphrase","The terms 'Scriptural Basis' and 'Biblical basis' are synonymous, with no change in doctrinal meaning, logical relationship, or intent.","Scriptural Basis:","Biblical basis:"
"78","0.904","MEDIUM","no","paraphrase","The back-translation simplifies the title by removing the definite article 'The,' but it does not alter the overall doctrinal meaning or intent regarding the gifts associated with the Holy Spirit.","## The Gifts of the Holy Spirit","## Gifts of the Holy Spirit"
"82","0.8918","MEDIUM","no","paraphrase","The back-translation maintains the same meaning as the original, simply adding a subject ('They') while preserving the context of discussing the chapter on the church.","- Discussed in the chapter on the Church.","- They are discussed in the chapter on the church."
"84","0.9034","MEDIUM","yes","logical","The original phrase is more general and does not specify who is discussing the content, while the back-translated version explicitly states 'they are discussed,' indicating a specific subject. This changes the logical relationship by attributing agency to a subject in the back-translation.","- Discussed in the chapter on the church.","- They are discussed in the chapter on the church."
"86","0.584","CRITICAL","no","paraphrase","Both phrases convey the idea of discussing or examining a topic in the same location, maintaining the original intent and logical relationship without altering the meaning.","- Discussed here.","- They are examined here."
"88","0.8275","LOW","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, simply using different wording without altering the intent or doctrinal content.","### Purpose &amp; Operations of the Gifts","### Purpose and functions of the gifts"
"106","0.9103","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, simply rephrasing it without altering the doctrinal content or intent.","### Explaining the 9 Holy Spirit Manifestation Gifts","### Explanation of the 9 manifestation gifts of the Holy Spirit"
"108","0.8965","MEDIUM","no","paraphrase","The back-translated paragraph retains the same doctrinal meaning and intent as the original, with only minor wording changes that do not affect the overall message.","1.  **Word of Wisdom** - Supernatural insight into God’s purposes or direction for a situation. It applies divine wisdom to complex problems or decisions (<span class=""x-scripture"" data-book=""ACT"" data-chapter=""6"" data-lang=""en"" data-type=""ref"" data-verses=""10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Acts 6:10</span>).","1.  **Word of wisdom** — A supernatural insight into God’s purposes or direction for a situation. This gift applies divine wisdom to complex matters or decisions (<span class=""x-scripture"" data-book=""ACT"" data-chapter=""6"" data-lang=""en"" data-type=""ref"" data-verses=""10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Acts 6:10</span>)."
"120","0.9154","MEDIUM","no","paraphrase","Both paragraphs convey the same doctrinal message about the necessity of yielding to the Holy Spirit in order to effectively use the gifts He provides. The language has been altered slightly, but the core meaning remains intact.","While the Holy Spirit gives the gifts, we must yield and to submit to the Holy Spirit to use them. Like muscles and talents, when we practice yielding to the Holy Spirit to use His gifts we become more confident and reliable in the use of them.","While the Holy Spirit gives the gifts, we must be surrendered and obedient to the Holy Spirit so that He may employ them. Like muscles and talents, as we practice yielding to the Holy Spirit in the exercise of His gifts, we become more confident and dependable in using them."
