# Drift report generated 2026-01-30T15:20:59.469193
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter10_chapter_10_sanctified_prepared_for_god_s_purpose.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/somali/pipeline2/backtranslation/chapters/chapter10_chapter_10_sanctified_prepared_for_god_s_purpose.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9925","HIGH","In the previous two chapters we have discussed several important topics. We explored the role and ministry of the Holy Spirit, as well as the role and ministry of the church.","In the previous two chapters we discussed several important topics. We explored the role and ministry of the Holy Spirit, as well as the role and ministry of the church."
"2","0.9196","MEDIUM","We have a part to play in the church, and while we know that we need training, we also need purification. To really be prepared for God’s purposes we must be sanctified.","We are part of the church, and although we know that we need training, we also need cleansing. To be truly prepared for God's purposes we must be sanctified."
"3","0.895","MEDIUM","The definition of **sanctification** is to purify something for a special purpose. This is closely related to the term **consecration** which means to set something aside for a special purpose.","The definition of **sanctification** is to cleanse something for a specific purpose. This is closely related to the word **setting apart** which means to place something for a specific purpose."
"4","0.9422","HIGH","Imagine a master sculptor preparing to work with a large block of marble. The master imagines what this raw and unshaped marble can be transformed into through his careful craftsmanship. He has a very specific design in mind, he orders his assistants to set this block of marble aside for a special design (**consecration**). As he refines and works the marble, adding texture, depth, and shape, he purifies it (**sanctifies**) for that special design. The act of dedicating the marble for his special project was quick, whereas the process of shaping the marble into its final design takes considerable patience.","Consider a master sculptor preparing to work on a large block of marble. The master envisions what this raw, unshaped marble can be transformed into through his careful craftsmanship. He has a very specific design in mind, and he orders his assistants to set this piece of marble in a place reserved for that specific design (**setting apart**). As he further refines and works the marble, adding surface detail, depth, and form, he purifies it (**sanctifies it**) for that specific design. The act of dedicating the marble to his special project was instantaneous, whereas the process of shaping the marble to its final design requires great patience."
"5","0.9052","MEDIUM","We were set aside, consecrated to God at salvation. Through the act of purifying our souls by the help of the Spirit we become transformed. This process of purification is what sanctifies us.","When we received salvation we were set apart, and God consecrated us. As our souls are cleansed, and in cooperation with the Spirit, we are transformed. This process of cleansing is the one that sanctifies us."
"6","0.9571","HIGH","When we received Jesus through salvation, we were born-again. We were justified, our sins forgiven. Our spirit was regenerated, we became alive in Christ. We were adopted into the family of God and became the literal temple of the Holy Spirit. Such a marvelous transformation that the scriptures say, “*there is joy before the angels of God over one sinner who repents.” (*<span class=""x-scripture"" data-book=""LUK"" data-chapter=""15"" data-lang=""en"" data-type=""ref"" data-verses=""10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Luke 15:10</span>).","When we received Jesus as salvation, we were born again. We were justified, and our sins were forgiven. Our spirit was made alive, and we began to live in Christ. We were adopted into God's family, and we became the true temple of the Holy Spirit. Concerning such a great and astonishing change the Scripture says, “*there is joy in the presence of the angels of God over one sinner who repents.” (*<span class=""x-scripture"" data-book=""LUK"" data-chapter=""15"" data-lang=""en"" data-type=""ref"" data-verses=""10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Luke 15:10</span>)."
"7","0.9909","HIGH","Receiving Jesus by salvation (**justification**) saves our spirit, cleanses us, and makes us presentable to God, able to receive His Holy Spirit. However, despite such a great salvation **our souls** (our mind, will, and emotions) still **need work**!","Receiving Jesus as salvation (**justification**) saves our spirit, cleanses us, and makes us presentable before God, able to receive His Holy Spirit. However, despite such a great salvation, **our souls** (our mind, will, and emotions) still **need work**!"
"8","0.993","HIGH","Was the work of salvation incomplete? No! The work of salvation is effective but must be continued in the life of the believer by the renewal brought on by the Holy Spirit. This process of renewal and transformation is the work of **sanctification.**","Was the work of salvation incomplete? No! The work of salvation is effective, but it must be continued in the believer’s life as renewal brought by the Holy Spirit goes on. This process of renewal and transformation is the work of **sanctification.**"
"9","0.8017","LOW","We know there is continued work to be done after conversion because our painful memories didn’t resolve, many of our beliefs stayed the same, and many of our habits or rituals didn’t vanish. Furthermore, conversion did not separate our minds from their fleshly (carnal) nature.","We know there is ongoing work after being saved, because our painful memories were not resolved, many beliefs remained the same, and many habits or patterns did not disappear. Moreover, salvation did not separate our mind from its carnal nature."
"10","0.9811","HIGH","The word ‘carnal’ comes from the Latin root meaning ‘flesh’ or ‘meat.’ The carnal nature is inside of each of us from birth, like an animal’s instincts, it exists to help us survive. The way the carnal nature works is by being self-focused, self-oriented, self-centered. Children are natural examples of a fleshly nature. Despite their innocence, their nature is focused primarily on their wants, desires, needs; and ‘watch out!’ if you don’t meet its every expectation.","The word ‘carnal’ comes from a Latin root meaning ‘body’ or ‘flesh.’ The carnal nature is in each one of us from birth; like animal instinct, it exists to help us survive. The way this carnal nature works is by being self-directed, self-oriented, and self-centered. Children are natural examples of the fleshly nature. Although they are innocent, their disposition is often directed toward their wants, desires, and needs; and ‘watch out!’ if you don’t meet every one they expect."
