# Drift explanation generated 2026-02-01T01:47:13.703598
# Source drift file: /Users/andrew/repo/kli-translation-pipeline_principles-of-faith/japenese/pipeline2/analysis/chapters/drift_report_chapter12_chapter_12_discipleship_vs_chapter12_chapter_12_discipleship.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"2","0.8557","MEDIUM","no","paraphrase","The back-translation maintains the same core idea as the original, simply using different wording. Both versions emphasize the importance of discipleship in the Great Commission without altering the underlying meaning.","Discipleship is the primary command in the Great Commission. Jesus defined this mission in:","Discipleship is the central command in the Great Commission. Jesus defined this mission as follows:"
"14","0.8456","LOW","no","paraphrase","The back-translated paragraph retains the original's focus on the interplay between genetics and environment in shaping individuals, without altering the doctrinal meaning or intent.","In the study of biology, psychology, and anthropology we often consider the impact of nature versus nurture. The question often posed, is a person more the result of their innate, in-built genetic heritage? Or are they more the result of their environment and upbringing? The truth is that every person is a blend of nature and nurture. Both elements in strong interplay choreograph the development of a human soul.","Studies in biology, psychology, and anthropology often consider the influence of genetics and environment. A common question is: Are people shaped as a result of their innate, inborn genetic heritage? Or as a result of their environment and upbringing? In reality, every person is a blend of both. The two interact strongly, weaving together the growth of the human soul."
"16","0.9181","MEDIUM","no","paraphrase","Both paragraphs convey the same core message about the necessity of nurturing and guidance for development, using similar imagery of a newborn and the role of loving parents.","Just as a new-born, whose wonderful, beautiful, innocent nature must be shaped by loving parents to develop into a healthy and mature individual, we too must be shaped and nurtured to be developed.","Just as a newborn with a wonderful, beautiful, spotless nature must be formed and guided by loving parents in order to grow into a healthy and mature individual, so we too must be formed, nurtured, and grown."
"18","0.7904","LOW","yes","doctrinal","The term 'Didactic Model' implies a focus on teaching and instruction, while 'Lecture Model' suggests a more passive learning approach. This change alters the doctrinal emphasis from an interactive teaching method to a more traditional, one-way communication style.","### Didactic Model vs Apprentice Model","### Lecture Model vs. Apprenticeship Model"
"19","0.9037","MEDIUM","yes","doctrinal","The back-translation changes the term 'didactic model' to 'lecture model,' which alters the specific educational approach being referenced. Additionally, the phrasing 'transformation of education' is changed to 'transformation in education,' which may imply a subtle difference in focus.","In modern day western education, the primary relationship the student has is with the material. The student’s learning is focused on content, material, books, videos, assignments, etc. The transformation of education happens via the curriculum. This method of teaching is known as the *didactic model*.","In modern Western education, the student’s primary relationship is with the material. Student learning is focused on content, materials, books, videos, and assignments. Transformation in education happens through a curriculum. This pedagogy is known as the *lecture model*."
"21","0.9181","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, simply using different wording while preserving the timeline and significance of the didactic model's evolution.","The didactic model gradually became the default method over about a millennium, from the first medieval universities of Europe in the 11<sup>th</sup> - 13<sup>th</sup> centuries, the invention of the printing press in the 15<sup>th</sup> century, the enlightenment of the 17<sup>th</sup> &amp; 18<sup>th</sup> century, and the impact of industrial revolution on information and education in the 19<sup>th</sup> &amp; 20<sup>th</sup> centuries.","Over roughly a thousand years, the instructional model gradually became the default approach—through the first medieval universities in Europe in the 11<sup>th</sup> - 13<sup>th</sup> centuries, the invention of the printing press in the 15<sup>th</sup> century, the Enlightenment in the 17<sup>th</sup> &amp; 18<sup>th</sup> centuries, and the impact of the Industrial Revolution on information and education in the 19<sup>th</sup> &amp; 20<sup>th</sup> centuries."
"22","0.9188","MEDIUM","no","paraphrase","Both paragraphs convey the same idea that the didactic/instructional model is more scalable than the apprentice/apprenticeship model, with MOOCs accommodating many students compared to the limited number of apprentices a master can teach.","The advantage of the didactic model is that it can scale more efficiently than the apprentice model. Massively open online courses (MOOCs) can have thousands of students at the same time, whereas even a very skilled master can only have perhaps a few dozen apprentices concurrently.","An advantage of the instructional model is that it can scale more efficiently than the apprenticeship model. Massive Open Online Courses (MOOCs) can accommodate thousands of students at once, whereas even a highly skilled master can handle at most a few dozen apprentices at a time."
"23","0.8937","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning, logical relationships, and intent as the original, with only minor changes in wording that do not affect the overall message.","The result of the didactic model is that the student has mastery of content, however the student does not become like the teacher. The teacher is a facilitator for the curriculum. The teacher imparts knowledge.","The result of the instructional model is that students master the content, but they do not become like the teacher. The teacher is a facilitator of the curriculum and imparts knowledge."
"25","0.902","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and logical relationships as the original, simply using different wording without altering the intent or concepts presented.","The didactic model has its use and place in the Kingdom of God, a good example is this book or any other Christian educational material. Jesus as a rabbi, skilled and trained in the rabbinical method, practiced the apprentice model as the primary model for His disciples.","The instructional model also has its use and place in the Kingdom of God, good examples being this book and other Christian educational materials. Jesus, a Rabbi skilled and trained in rabbinic methods, practiced the apprenticeship model as the primary model for his disciples."
"26","0.8713","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, simply using different wording to convey that Jesus is discussing the apprenticeship model.","Jesus describes the apprentice model in:","Jesus explains the apprenticeship model as follows:"
"30","0.8804","MEDIUM","no","paraphrase","The back-translation maintains the original concepts of the didactic and apprenticeship models without altering their meanings, simply using different wording.","In the didactic model the student becomes a carrier of the knowledge, in the apprentice model, the student becomes like the teacher. Let’s study the key words from that passage of Luke.","In the instructional model, students become bearers of knowledge; in the apprenticeship model, students become like the teacher. Let’s learn the key terms in that passage in Luke."
"35","0.915","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, using different words but conveying the same ideas about reproduction and health in organisms and churches.","Any organism that does not reproduce is barren, and its line is cut off. An animal that cannot reproduce is not healthy, a church that cannot reproduce is likewise unhealthy.","Any living thing that does not reproduce is infertile, and its line is cut off. An animal that cannot reproduce is not healthy, and likewise a church that cannot reproduce is unhealthy."
"37","0.9084","MEDIUM","no","paraphrase","Both paragraphs convey the same core message about Jesus' example of discipleship and the importance of using His steps as a foundation for our own discipleship journey, with no significant changes in meaning.","Jesus demonstrated the mature and complete example of discipleship in the Gospels with His chosen disciples. We should use these steps broadly as the foundation for our own walk in becoming and making disciples.","With his chosen disciples, Jesus modeled in the Gospels a mature and complete approach to discipleship. We should use these steps in broad outline as the foundation for our own journey of being and making disciples."
"39","0.908","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, discussing the progression of discipleship relationships and the emphasis on both the disciple and disciple-maker without altering any doctrinal or logical elements.","Every discipleship relationship goes through a progression of eight phases. The phases, or steps, are not purely isolated from each other, many times the relationship will flow between the phases. In each phase there is an emphasis for the disciple, and for the disciple-maker. We will study attributes of disciple-makers in depth later in this chapter.","Every discipleship relationship follows a progression of eight stages. These stages (steps) are not purely isolated from one another; relationships often move back and forth between stages. Each stage has emphases regarding the disciple and emphases regarding the disciple-maker. We will study the qualities of a disciple-maker in more detail later in this chapter."
"40","0.8574","MEDIUM","yes","doctrinal","The original refers to 'phases' of discipleship, which may imply a more spiritual or developmental process, while the back-translation uses 'stages of discipleship training,' suggesting a more structured, educational approach that could alter the understanding of the discipleship process.","The eight phases of discipleship are:","The eight stages of discipleship training are as follows:"
"43","0.6076","CRITICAL","yes","doctrinal","The term 'demonstrating' suggests a focus on showing or proving something through actions or evidence, while 'modeling' implies a more passive representation or imitation. This shift alters the doctrinal emphasis from active demonstration to passive representation.","3.  Demonstrating","3.  Modeling"
"44","0.8671","MEDIUM","no","paraphrase","The terms 'Trying' and 'Attempt' convey similar concepts of effort and engagement, maintaining the original intent and meaning without significant alteration.","4.  Participation/Trying","4.  Participation/Attempt"
"48","0.9021","MEDIUM","no","paraphrase","The phrases 'Remain Connected' and 'Staying Connected' convey the same idea of maintaining a connection, with no significant change in meaning or intent.","8.  Remain Connected","8.  Staying Connected"
"55","0.4994","CRITICAL","yes","doctrinal","The term 'demonstrating' implies a clear presentation or proof of a concept, while 'modeling' suggests imitation or representation, potentially altering the emphasis on the nature of the action being described.","### Demonstrating","### Modeling"
"58","0.8423","LOW","yes","doctrinal","The term 'Participation' implies a deeper engagement or involvement, often in a communal or relational context, while 'Attempt' suggests a more superficial effort or trial without the same connotation of belonging or shared experience.","### Participation/Trying","### Participation/Attempt"
"64","0.8861","MEDIUM","no","paraphrase","The back-translation retains the same wording and meaning as the original, with no changes in doctrinal, logical, or intentional aspects.","### Empowerment/Authorization","### Empowerment／Authorization"
"70","0.7367","CRITICAL","no","paraphrase","Both phrases convey the same concept of maintaining a connection, with no significant change in meaning or intent.","### Remain Connected","### Maintaining Connection"
"73","0.8494","LOW","no","paraphrase","Both phrases inquire about the individuals or groups involved in the act of making disciples, maintaining the same conceptual focus without altering the underlying meaning.","## Who does Discipleship?","## Who makes disciples?"
"74","0.9184","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and logical relationships as the original, emphasizing the shared responsibility of all members in discipleship while acknowledging the leaders' significant role.","Everyone in the body of Christ is responsible first to become a disciple, then to contribute to the process of discipleship making. There are diversities of gifts and functions, so our contributions may look different, but we are all responsible. The people ultimately most responsible for the state and health of discipleship in the local church are the leaders (**elders and deacons - <span class=""x-scripture"" data-book=""ACT"" data-chapter=""14"" data-lang=""en"" data-type=""ref"" data-verses=""23"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Acts 14:23</span>**), but everyone plays a part.","Everyone who belongs to the body of Christ has the responsibility first to become a disciple and then to contribute to the process of making disciples. Because gifts and roles are diverse, our contributions may look different, but the responsibility belongs to everyone. While the leaders（**elders and deacons - <span class=""x-scripture"" data-book=""ACT"" data-chapter=""14"" data-lang=""en"" data-type=""ref"" data-verses=""23"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Acts 14:23</span>**）bear the greatest ultimate responsibility for the state and health of discipleship in the local church, everyone has a role。"
"76","0.8741","MEDIUM","no","paraphrase","Both paragraphs convey the same core message about the necessity of striving for maturity and making disciples, while acknowledging the diversity of gifts and the shared characteristics among disciple-makers.","All of us must become perfect (mature) and make disciples. While we will have diverse gifts there are common characteristics for all disciple-makers.","We all must move toward perfection（maturity） and make disciples. Even though gifts are diverse, there are characteristics common to all who make disciples。"
