# Drift report generated 2026-01-30T02:01:46.935372
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter2_chapter_2_god_eternal_creator_and_loving_father.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/french/pipeline2/backtranslation/chapters/chapter2_chapter_2_god_eternal_creator_and_loving_father.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9585","HIGH","It is crucial that we establish a firm foundation in the knowledge of who God is. We can come to understand by studying:","It is crucial to lay solid foundations in the knowledge of who God is. We can come to understand by studying:"
"2","0.9761","HIGH","- His desires, intents, and actions,","- His desires, intentions, and actions,"
"3","1.0","HIGH","- His nature, character, and attributes,","- His nature, character, and attributes,"
"4","0.9702","HIGH","- What is said of Him and what He says of Himself.","- What is said about Him and what He says about Himself."
"5","0.9583","HIGH","Scripture reveals God’s characteristics uniquely, with each facet deepening our understanding of the unchanging, eternal God.","Scripture uniquely reveals the characteristics of God, each facet deepening our understanding of the unchanging and eternal God."
"6","0.9204","HIGH","Summarizing God in one descriptor is challenging, if not impossible, as He is too vast and multifaceted for simplification. While we can, and will, make great efforts to explain, describe, and depict God, ultimately like art and music, He must be experienced to be understood.","Summarizing God in a single qualifier is difficult, even impossible, because He is too vast and multifaceted to be simplified. Although we can, and will, expend great efforts to explain, describe, and represent God, in the end, as with art and music, He must be experienced to be understood."
"7","0.9865","HIGH","When a person listens to music, they describe it by expressing how it moves them-how it resonates within, beyond just the notes and rhythms. A melody might carry warmth or intensity, with a rhythm that pulses like a heartbeat or crescendos that create a sense of exhilaration or longing. Music can soothe like a gentle wave or electrify like a storm, lifting the listener’s spirits, grounding their thoughts, or transporting them to another place entirely. This experience is far more than the sequence of sounds; it is the soul of the music that lingers, captured in how it shapes the listener’s emotions and personal journey.","When a person listens to music, they describe it by expressing what it makes them feel-how it resonates within, beyond the notes and rhythms alone. A melody may carry warmth or intensity, with a rhythm that pulses like a heartbeat or crescendos that create a sense of elation or nostalgia. Music can soothe like a gentle wave or electrify like a storm, lifting the listener’s spirit, anchoring their thoughts, or transporting them to another place entirely. This experience is far more than the succession of sounds; it is the soul of the music that remains, captured in how it shapes the listener’s emotions and personal journey."
"8","0.9748","HIGH","Similarly, a viewer of a painting looks beyond the colors or brushstrokes, exploring what these elements embody. A landscape might evoke a serene escape, while an abstract piece can stir curiosity or introspection. Certain shades can bring warmth, while a composition may create a sense of calm, chaos, or beauty. The painting becomes a living experience, provoking a shift in perspective or a deep emotional reaction that words alone can’t capture. Both music and art, then, transform into more than their physical forms-they become encounters that touch something essential, changing the listener or viewer in profound and personal ways.","Similarly, one who looks at a painting goes beyond the colors or brushstrokes, exploring what those elements embody. A landscape may evoke a serene escape, while an abstract work may stir curiosity or introspection. Certain hues may bring warmth, while a composition may create a sense of calm, chaos, or beauty. The painting becomes a living experience, provoking a change of perspective or a deep emotional response that words alone cannot capture. Music and art thus transform into something more than their physical forms-they become encounters that touch something essential, changing the listener or viewer in a deep and personal way."
"9","0.9907","HIGH","## Exploring God Through the Old Testament","## Exploring God through the Old Testament"
"10","0.9846","HIGH","### Genesis: The God Who Dwells With His Creation","### Genesis: The God who dwells with His creation"
"11","0.9573","HIGH","A central theme in the narrative of God is His **desire to dwell** with His creation. This is clear in the stories throughout Genesis. Across its fifty chapters and genealogies from Adam (the first man) through Joseph (that last major figure in the book of Genesis, the last significant leader of God’s people before Moses), there is a period of approximately ~2,400 years. We can see through these stories the consistency of God’s goodness despite man’s wickedness.","A central theme in God’s story is His desire to dwell with His creation. This is clear in the accounts throughout Genesis. Across its fifty chapters and the genealogies from Adam (the first man) to Joseph (this last major character of the book of Genesis, the last significant leader of the people of God before Moses), there is a span of approximately ~2,400 years. Through these stories we can see the constancy of God’s goodness despite the wickedness of man."
"12","0.9472","HIGH","In Genesis, God establishes relationship with select individuals.","In Genesis, God establishes a relationship with certain people."
"13","0.9986","HIGH","1.  **Adam and Eve** - The first humans, created by God and placed in the Garden of Eden. God walks and talks with them, giving them instructions and establishing a relationship of mutual love and obedience. However, this relationship is impacted by their disobedience in eating from the Tree of the Knowledge of Good and Evil (Genesis 1-3).","1.  **Adam and Eve** - The first humans, created by God and placed in the Garden of Eden. God walks and talks with them, giving them instructions and establishing a relationship of mutual love and obedience. However, this relationship is affected by their disobedience in eating from the Tree of the Knowledge of Good and Evil (Genesis 1-3)."
"14","0.9979","HIGH","2.  **Cain** - Although Cain ultimately rebels by murdering his brother Abel, God speaks directly to him, warning him about the danger of sin and offering him guidance before the murder. Even after Cain’s punishment, God marks him to protect him from harm (Genesis 4).","2.  **Cain** - Although Cain ultimately rebels by murdering his brother Abel, God speaks to him directly, warning him of the danger of sin and offering guidance before the murder. Even after Cain’s punishment, God marks him to protect him from harm (Genesis 4)."
"15","0.9951","HIGH","3.  **Noah** - God establishes a unique relationship with Noah, a righteous man, in a time of widespread corruption. God commands Noah to build an ark to save his family and the animals from the Flood. Afterward, God makes a covenant with Noah, promising never again to destroy the earth with a flood and establishing the rainbow as a sign of this covenant (Genesis 6-9).","3.  **Noah** - God establishes a unique relationship with Noah, a righteous man, at a time of widespread corruption. God commands Noah to build an ark to save his family and the animals from the Flood. Then God makes a covenant with Noah, promising never again to destroy the earth by a flood and setting the rainbow as the sign of this covenant (Genesis 6-9)."
"16","0.9974","HIGH","4.  **Abraham (Abram)** - One of the most significant relationships in Genesis, God calls Abram to leave his homeland and promises to make him the father of a great nation. God establishes a covenant with Abram, promising land, descendants, and blessings for all nations through him. Abram’s faith and obedience become central themes, and his name is changed to Abraham as part of the covenant (Genesis 12, 15, 17, 22).","4.  **Abraham (Abram)** - One of the most significant relationships in Genesis, God calls Abram to leave his homeland and promises to make him the father of a great nation. God makes a covenant with Abram, promising a land, offspring, and blessings for all nations through him. Abram’s faith and obedience become central themes, and his name is changed to Abraham as part of the covenant (Genesis 12, 15, 17, 22)."
"17","0.9939","HIGH","5.  **Hagar** - An Egyptian servant of Sarah, Hagar encounters God in the wilderness after being mistreated. God comforts her, promises her a future for her son Ishmael, and instructs her to return to Abraham and Sarah. Hagar refers to God as “El Roi” (“The God Who Sees Me”), recognizing His care for her (Genesis 16).","5.  **Hagar** - Egyptian servant of Sarah, Hagar encounters God in the wilderness after being mistreated. God comforts her, promises a future for her son Ishmael, and tells her to return to Abraham and Sarah. Hagar calls God “El Roi” (“The God who sees me”), recognizing His care for her (Genesis 16)."
"18","0.9958","HIGH","6.  **Isaac** - The son of Abraham and Sarah, Isaac inherits the covenant promises made to his father. God reaffirms these promises directly to Isaac, including the promise of descendants and blessings. God also guides Isaac during a famine, protecting him and establishing the covenant relationship (Genesis 26).","6.  **Isaac** - The son of Abraham and Sarah, Isaac inherits the covenant promises made to his father. God reaffirms these promises directly to Isaac, including the promise of offspring and blessings. God also guides Isaac during a famine, protecting him and establishing the covenant relationship (Genesis 26)."
"19","0.9986","HIGH","7.  **Rebekah** - Although her relationship with God is indirect, God answers Rebekah’s prayer about her difficult pregnancy, revealing that her twins, Jacob and Esau, will become two nations with distinct destinies (Genesis 25).","7.  **Rebekah** - Although her relationship with God is indirect, God answers Rebekah’s prayer concerning her difficult pregnancy, revealing that her twins, Jacob and Esau, will become two nations with distinct destinies (Genesis 25)."
"20","0.995","HIGH","8.  **Jacob** - God establishes a personal relationship with Jacob, appearing to him in a dream and confirming the covenant promises of land, descendants, and blessings. Jacob encounters God several times, including the famous wrestling match where God changes his name to Israel, symbolizing his transformation and the establishment of Israel as a people (Genesis 28, 32, 35).","8.  **Jacob** - God establishes a personal relationship with Jacob, appearing to him in a dream and confirming the covenant promises concerning the land, offspring, and blessings. Jacob encounters God multiple times, notably during the famous wrestling match where God changes his name to Israel, symbolizing his transformation and the establishment of Israel as a people (Genesis 28, 32, 35)."
"21","0.9953","HIGH","9.  **Joseph** - Although Joseph’s relationship with God isn’t based on direct appearances or covenants like those of Abraham or Jacob, God is deeply involved in his life. Through dreams, divine favor, and providence, God guides Joseph’s journey from being sold into slavery to becoming a powerful leader in Egypt. Joseph’s faith in God’s sovereignty allows him to forgive his brothers, recognizing that God used his suffering for good (Genesis 37, 39-50).","9.  **Joseph** - Although Joseph’s relationship with God does not rest on direct appearances nor on covenants like those of Abraham or Jacob, God is deeply involved in his life. Through dreams, divine favor, and providence, God guides Joseph’s journey from being sold as a slave to becoming a powerful leader in Egypt. Joseph’s faith in God’s sovereignty enables him to forgive his brothers, recognizing that God used his suffering for good (Genesis 37, 39-50)."
"22","0.9804","HIGH","Throughout this narrative God, who wants to dwell with His creation, has to settle for dwelling with select individuals, and ultimately through covenant with Abraham establishes a people (<span class=""x-scripture"" data-book=""GEN"" data-chapter=""17"" data-lang=""en"" data-type=""ref"" data-verses=""7"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Genesis 17:7</span>).","Throughout this narrative, God, who wants to dwell with His creation, must content Himself with dwelling with chosen individuals and, ultimately, through the covenant with Abraham, establishes a people (<span class=""x-scripture"" data-book=""GEN"" data-chapter=""17"" data-lang=""en"" data-type=""ref"" data-verses=""7"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Genesis 17:7</span>)."
"23","0.9868","HIGH","### Exodus: The God Who Dwells With His People","### Exodus: The God who dwells with His people"
"24","0.9912","HIGH","God’s desire to dwell with His people is also clearly seen in the second book of the Bible, Exodus. In the book of the exodus the people of Israel, who had lived for a period of time in relative peace and harmony in Egypt, are now being oppressed by a Pharaoh who did not know of Joseph and feared the Hebrews (<span class=""x-scripture"" data-book=""EXO"" data-chapter=""1"" data-lang=""en"" data-type=""ref"" data-verses=""6-8"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Exodus 1:6-8</span>). God’s people lived in Egypt for roughly ~400 years (<span class=""x-scripture"" data-book=""EXO"" data-chapter=""12"" data-lang=""en"" data-type=""ref"" data-verses=""40-41"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Exodus 12:40-41</span>), of which the later portion of that was spent living as slaves (there is not a universal consensus on precisely how long Israel was in bondage to Egypt).","God’s desire to dwell with His people is also clearly visible in the second book of the Bible, Exodus. In the book of Exodus the people of Israel, who had lived for some time in relative peace and harmony in Egypt, are now oppressed by a pharaoh who did not know Joseph and feared the Hebrews (<span class=""x-scripture"" data-book=""EXO"" data-chapter=""1"" data-lang=""en"" data-type=""ref"" data-verses=""6-8"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Exodus 1:6-8</span>). God’s people lived in Egypt for about ~400 years (<span class=""x-scripture"" data-book=""EXO"" data-chapter=""12"" data-lang=""en"" data-type=""ref"" data-verses=""40-41"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Exodus 12:40-41</span>), the latter part of which was spent in slavery (there is no universal consensus on the exact length of Israel’s enslavement in Egypt)."
"25","0.9652","HIGH","In the powerful presence of the burning bush that was not consumed, God reveals Himself to a Hebrew-born, Egyptian-raised, murderer in exile, who is tending to his father-in-law’s flock in the desert, Moses.","In the mighty presence of the burning bush that was not consumed, God reveals Himself to a Hebrew by birth, raised in Egypt, a murderer in exile, who is tending his father-in-law’s flock in the wilderness, Moses."
"26","1.0","HIGH","<span class=""x-scripture"" data-book=""EXO"" data-chapter=""3"" data-lang=""en"" data-type=""quote"" data-verses=""14"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""EXO"" data-chapter=""3"" data-lang=""en"" data-type=""quote"" data-verses=""14"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"27","1.0","HIGH","> **<u>Exodus 3:14</u>** (NKJV)\\n>\\n> And God said to Moses, ""I AM WHO I AM."" And He said, ""Thus you shall say to the children of Israel, 'I AM has sent me to you.' ""\\n>","> **<u>Exodus 3:14</u>** (NKJV)\\n>\\n> And God said to Moses, ""I AM WHO I AM."" And He said, ""Thus you shall say to the children of Israel, 'I AM has sent me to you.' ""\\n>"
"28","1.0","HIGH","</span>","</span>"
"29","0.9224","HIGH","The phrase **“I AM THAT I AM”** (Ehyeh-Asher-Ehyeh) is one of the most profound self-revelations in Scripture. When Moses asks for God’s name, God responds with this phrase, which can be translated as ""I Am Who I Am,"" ""I Will Be Who I Will Be,"" or simply ""I Am."" This declaration on the surface is a bit confusing but holds deep meaning. Could you imagine introducing yourself to someone new as ‘I am’? When God reveals Himself as ‘I AM THAT I AM’ He is attesting to His nature, His eternal presence, His sovereignty. ‘I am’ is infinite in meaning and purpose.","The phrase ""I AM WHO I AM"" (Ehyeh-Asher-Ehyeh) is one of Scripture’s deepest self-revelations. When Moses asks for God’s name, God answers with this formula, which can be translated as ""I am who I am,"" ""I will be who I will be,"" or simply ""I am."" This statement, on the surface, may seem a bit puzzling but it carries profound meaning. Could you imagine introducing yourself to someone new as 'I am'? When God reveals Himself as 'I AM WHO I AM' He attests to His nature, His eternal presence, His sovereignty. 'I am' is infinite in meaning and in finality."
"30","1.0","HIGH","God uses Moses to reveal Himself to Pharaoh:","God uses Moses to reveal Himself to Pharaoh:"
"31","1.0","HIGH","<span class=""x-scripture"" data-book=""EXO"" data-chapter=""7"" data-lang=""en"" data-type=""quote"" data-verses=""16"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""EXO"" data-chapter=""7"" data-lang=""en"" data-type=""quote"" data-verses=""16"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"32","1.0","HIGH","> **<u>Exodus 7:16</u>** (NKJV)\\n>\\n> And you shall say to him, 'The LORD God of the Hebrews has sent me to you, saying, ""Let My people go, that they may serve Me in the wilderness""; but indeed, until now you would not hear!\\n>","> **<u>Exodus 7:16</u>** (NKJV)\\n>\\n> And you shall say to him, 'The LORD God of the Hebrews has sent me to you, saying, ""Let My people go, that they may serve Me in the wilderness""; but indeed, until now you would not hear!\\n>"
"33","1.0","HIGH","</span>","</span>"
"34","0.9699","HIGH","Moses tells Pharaoh, God is the ‘I AM’ and that God demands the Israelites be released so that they may worship Him in the wilderness.","Moses tells Pharaoh that God is the 'I AM' and that God requires the Israelites to be released so that they may worship Him in the wilderness."
"35","0.8911","MEDIUM","Plagues and misery ensue, but ultimately Pharaoh relents and lets the Israelites leave.","Plagues and calamities follow, but eventually Pharaoh yields and lets the Israelites go."
"36","1.0","HIGH","<span class=""x-scripture"" data-book=""EXO"" data-chapter=""12"" data-lang=""en"" data-type=""quote"" data-verses=""31"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""EXO"" data-chapter=""12"" data-lang=""en"" data-type=""quote"" data-verses=""31"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"37","1.0","HIGH","> **<u>Exodus 12:31</u>** (NKJV)\\n>\\n> Then he called for Moses and Aaron by night, and said, ""Rise, go out from among my people, both you and the children of Israel. And go, serve the LORD as you have said.\\n>","> **<u>Exodus 12:31</u>** (NKJV)\\n>\\n> Then he called for Moses and Aaron by night, and said, ""Rise, go out from among my people, both you and the children of Israel. And go, serve the LORD as you have said.\\n>"
"38","1.0","HIGH","</span>","</span>"
"39","0.9923","HIGH","In the wilderness God miraculously delivers His people from the vengeful Egyptian army (Exodus 14), provides protection from the sun and a pillar of fire to keep them warm in the cool night of the desert (Exodus 13), food from heaven (Exodus 16), and water to drink (Exodus 17).","In the wilderness God miraculously delivers His people from the vengeful Egyptian army (Exodus 14), provides a covering from the sun and a pillar of fire to keep them warm in the cool desert night (Exodus 13), food from heaven (Exodus 16), and water to drink (Exodus 17)."
"40","0.9915","HIGH","God brings His people to Mount Sinai where God commands Moses to consecrate the people and gives them the law (including the 10 commandments) and establishes His covenant with them (the old covenant) (Exodus 19, 20, 24). This covenant (the Mosaic covenant) builds upon the Abrahamic covenant and lasts from Moses to Jesus.","God brings his people to Mount Sinai where God commands Moses to consecrate the people and gives them the law (including the Ten Commandments) and establishes his covenant with them (the Old Covenant) (Exodus 19, 20, 24). This covenant (the Mosaic covenant) builds on the Abrahamic covenant and lasts from Moses to Jesus."
"41","0.9801","HIGH","Despite building a covenant with His people, the relationship is one of a loving and jealous God pursuing and abiding with very stubborn and ungrateful people (<span class=""x-scripture"" data-book=""EXO"" data-chapter=""32"" data-lang=""en"" data-type=""ref"" data-verses=""9"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Exodus 32:9</span>). Ignoring God's miraculous intervention, they keep a rebellious attitude for large parts of the text. God even brings them to the promised land and tells them they can inherit it (<span class=""x-scripture"" data-book=""EXO"" data-chapter=""33"" data-lang=""en"" data-type=""ref"" data-verses=""3"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Exodus 33:3</span>), but in fear and disobedience they ignore the supernatural deliverance that God has given them, and instead must wander the desert for 40 years until almost everyone from that generation had died (<span class=""x-scripture"" data-book=""NUM"" data-chapter=""14"" data-lang=""en"" data-type=""ref"" data-verses=""33-34"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Numbers 14:33-34</span>).","Despite entering into a covenant with his people, the relationship is that of a loving and jealous God who pursues and dwells with a very stubborn and ungrateful people (<span class=""x-scripture"" data-book=""EXO"" data-chapter=""32"" data-lang=""en"" data-type=""ref"" data-verses=""9"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Exodus 32:9</span>). Ignoring God’s miraculous intervention, they keep a rebellious attitude through large parts of the narrative. God even brings them to the Promised Land and tells them they may inherit it (<span class=""x-scripture"" data-book=""EXO"" data-chapter=""33"" data-lang=""en"" data-type=""ref"" data-verses=""3"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Exodus 33:3</span>), but out of fear and disobedience they ignore the supernatural deliverance God granted them, and instead must wander in the wilderness for 40 years until almost everyone of that generation has died (<span class=""x-scripture"" data-book=""NUM"" data-chapter=""14"" data-lang=""en"" data-type=""ref"" data-verses=""33-34"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Numbers 14:33-34</span>)."
"42","0.9727","HIGH","### The Rest of the Old Testament","### The rest of the Old Testament"
"43","0.9928","HIGH","In the ~1,400 years between the death of Moses and the birth of Christ the Israelites experienced a recurring cycle of devotion which brings God's favor and blessings, followed by rebellion, God’s judgment, their subsequent repentance, and ultimately God’s deliverance. This pattern is particularly evident in the books of **Judges, Kings, and Chronicles**, which recount cycles where the people turn away from God, often by worshiping other gods, resulting in periods of oppression or exile. In response to their cries, God repeatedly raised up judges, prophets, or leaders to deliver them.","Over the ~1,400 years between the death of Moses and the birth of Christ, the Israelites experienced a recurring cycle of devotion that brings God’s favor and blessings, followed by rebellion, God’s judgment, their subsequent repentance, and finally God’s deliverance. This pattern is particularly evident in the books of **Judges, Kings, and Chronicles**, which recount cycles where the people turn away from God, often by worshiping other gods, resulting in periods of oppression or exile. In response to their cries, God repeatedly raised up judges, prophets, or leaders to deliver them."
"44","0.9626","HIGH","Throughout these years, despite the Israelites' frequent failures to uphold their covenant with Him, God remains faithful, showing both justice and mercy. He continuously rescues and forgives His people, demonstrating His enduring commitment and love.","During these years, despite the Israelites’ frequent failures to keep their covenant with him, God remains faithful, displaying both justice and mercy. He continually saves and forgives his people, demonstrating his enduring commitment and love."
"45","0.9669","HIGH","As we see in Scripture, God reveals Himself through actions, relationships, and even names that speak to His character. Each name represents a specific aspect of His total character. These names were given as part of a narrative of how God revealed Himself to His people. For your personal study a reference table is included in the Appendix: *Table 10 - Old Testament Names of God.* Read through these names and study the scripture references. Each reference is a story that depicts precisely how God saved, delivered, and rescued His people.","As we see in Scripture, God reveals himself through actions, relationships, and even names that speak of his character. Each name represents a specific aspect of the whole of his character. These names were given within a narrative of how God revealed himself to his people. For your personal study, a reference chart is included in the Appendix: *Table 10 - Names of God in the Old Testament.* Read these names and study the biblical references. Each reference is a story that shows exactly how God saved, delivered, and rescued his people."
"46","0.9736","HIGH","Also included in the Appendix is a further derived set of attributes describing His nature, descriptions of His actions and intents: *Table 11 - Attributes of God.* These attributes, while slightly more abstract than the names of God, are no less authentic!","Also included in the Appendix is an additional set of attributes describing his nature, descriptions of his actions and intentions: *Table 11 - Attributes of God.* These attributes, though slightly more abstract than the names of God, are no less authentic!"
"47","0.9758","HIGH","These names help us understand God-Father, Son, and Holy Spirit (the **Trinity**)-working together as one. In our continued study we will examine names and attributes of Jesus and the Holy Spirit in more depth.","These names help us understand God-Father, Son, and Holy Spirit (the **Trinity**)-working together as one. In the remainder of our study, we will look more deeply at the names and attributes of Jesus and the Holy Spirit."
