# Drift report generated 2025-12-30T02:27:10.352190
# Source file: /Users/andrew/repo/principles-of-faith/english/chapters/chapter5_chapter_5_repentance_from_dead_works.md
# Back translation: /Users/andrew/repo/kli-translation-pipeline_principles-of-faith/urdu/pipeline2/backtranslation/chapters/chapter5_chapter_5_repentance_from_dead_works.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9532","HIGH","Oftentimes in Christianity we think about repentance as fundamental only to the beginning of our faith in Jesus. The heart of repentance goes much deeper than turning away from sin unto salvation. Repentance from dead works means living with our hearts turned away from the things that harm us or stunt our growth-and turned toward the things of God.","Often in Christianity we consider repentance to be merely a basic thing related to the beginning of our faith. The true spirit of repentance is far deeper than simply turning from sin to obtain salvation. Repentance from dead works means that our heart is turned away from the things that harm us or hinder our growth—and turned toward the things of God."
"2","0.9686","HIGH","The author of Hebrews sets ‘repentance from dead works’ as the first item in the list of the foundational doctrines after the foundational principles of the Messiah (Chapter 4).","The author of Hebrews placed ‘repentance from dead works’ as the first thing in the list of foundational doctrines after the elementary principles of Christ (Chapter 4)."
"3","1.0","HIGH","<span class=""x-scripture"" data-book=""HEB"" data-chapter=""6"" data-lang=""en"" data-type=""quote"" data-verses=""1"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""HEB"" data-chapter=""6"" data-lang=""en"" data-type=""quote"" data-verses=""1"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"4","1.0","HIGH","> **<u>Hebrews 6:1</u>** (NKJV)\\n>\\n> Therefore, leaving the discussion of the elementary principles of Christ, let us go on to perfection, not laying again the foundation of repentance from dead works and of faith toward God,\\n>","> **<u>Hebrews 6:1</u>** (NKJV)\\n>\\n> Therefore, leaving the discussion of the elementary principles of Christ, let us go on to perfection, not laying again the foundation of repentance from dead works and of faith toward God,\\n>"
"5","1.0","HIGH","</span>","</span>"
"6","0.942","HIGH","Let's take an in-depth look at the Greek for this phrase:","Let’s take a detailed look at the Greek for this phrase:"
"7","1.0","HIGH","[See Table 4](../tables/table4.md)","[See Table 4](../tables/table4.md)"
"8","1.0","HIGH","### Dead Works","### Dead Works"
"9","0.8948","MEDIUM","Every person who has ever been employed knows what work is. Work is the set of tasks that you undertake to receive a paycheck so you can earn a living (employment). Employment is an agreement to trade your talents and efforts for something of value that will help sustain you. You work because you get something out of it.","Everyone who has ever held a job knows what work is. Work is the responsibilities you perform in order to receive wages so that you can earn a living (employment). Employment is a contract in which you give your skills and efforts in exchange for some valuable compensation that helps you make a living. You work because you get something out of it."
"10","0.9582","HIGH","Our work is important, it can bring a sense of purpose, often a sense of identity. It's very common to be asked ‘What do you do for a living?’ and the response begins with a statement of identity ‘I am’. While work can be enjoyable and purposeful, it is also very likely to be physically or mentally tough, difficult, challenging, and stressful. If your job is none of these things, you might find it too menial and boring.","Our work matters; it can give a sense of purpose, and often a sense of identity as well. It’s a very common question, ‘What do you do for a living?’ and the answer often begins with an identity statement, ‘I am.’ Although work can be enjoyable and meaningful, it is also very common for it to be physically or mentally strenuous, difficult, challenging, and stressful. If your job is none of these, you may find it very menial and boring."
"11","0.9778","HIGH","If you work a 40-hour a week job, and sleep 8 hours per night, you spend 36% of your waking hours working, and this excludes the time you spend getting ready to work, commuting to work, taking care of a household, and all the other necessary tasks you need to do to keep the your life on track.","If you work a 40-hour job each week, and sleep 8 hours every night, you spend 36% of your waking hours at work, and that doesn’t include the time you spend getting ready for work, commuting, taking care of the house, and all the other necessary tasks you have to do to keep your life on track."
"12","0.9283","HIGH","Why do we do all this work? It varies, but definitionally because we get something of value from it.","Why do we do all this work? The reasons can vary, but by definition it’s because we gain some value from it."
"13","0.9686","HIGH","Would you continue to work at a job if they stopped paying you? For most of us the easy and painfully obvious answer is a resounding, NO!","Would you keep working at a job if they stopped paying you? For most of us, the easy—and painfully obvious—answer is a resounding, no!"
"14","0.976","HIGH","Would you continue to work at a job if it was killing you? I suppose it depends on how quickly.","Would you keep working at a job that was killing you? I suppose that depends on how quickly."
"15","0.9514","HIGH","The context of ***nekros*** joined with ***erga*** is labor or work that is dead, has no vitality, cannot reproduce! The author of Hebrews is warning us of labor that is dead.","In the context of combining ***nekros*** with ***erga***, it means labor or work that is dead, that has no life, that cannot reproduce! The author of Hebrews is warning us against such dead work."
