# Drift report generated 2026-01-30T02:02:27.533879
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter6_chapter_6_faith_toward_god.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/french/pipeline2/backtranslation/chapters/chapter6_chapter_6_faith_toward_god.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9565","HIGH","Faith is a bedrock concept in Christianity. Faith is such a commonly used word in Christianity that sometimes the meaning of the word is supplanted by subtle misconceptions and wrong understanding. But it’s not something you can hold in your hands-it’s something formed in your heart as you come to trust God. Persuasion is belief.","Faith is a foundational concept of Christianity. The word faith is used so commonly in Christianity that, sometimes, its meaning is supplanted by subtle misconceptions and misunderstanding. But this is not something you can hold in your hands-this is something that is formed in your heart as you come to trust God. Persuasion is belief."
"2","0.8605","MEDIUM","The writer of Hebrews instructs us that we are to have ‘faith towards God’.","The author of the Epistle to the Hebrews teaches us that we must have « faith toward God »."
"3","1.0","HIGH","<span class=""x-scripture"" data-book=""HEB"" data-chapter=""6"" data-lang=""en"" data-type=""quote"" data-verses=""1-2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""HEB"" data-chapter=""6"" data-lang=""en"" data-type=""quote"" data-verses=""1-2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"4","1.0","HIGH","> **<u>Hebrews 6:1-2</u>** (NKJV)\\n>\\n> Therefore, leaving the discussion of the elementary principles of Christ, let us go on to perfection, not laying again the foundation of repentance from dead works and of faith toward God,\\n>\\n> of the doctrine of baptisms, of laying on of hands, of resurrection of the dead, and of eternal judgment.\\n>","> **<u>Hebrews 6:1-2</u>** (NKJV)\\n>\\n> Therefore, leaving the discussion of the elementary principles of Christ, let us go on to perfection, not laying again the foundation of repentance from dead works and of faith toward God,\\n>\\n> of the doctrine of baptisms, of laying on of hands, of resurrection of the dead, and of eternal judgment.\\n>"
"5","1.0","HIGH","</span>","</span>"
"6","0.966","HIGH","In this chapter we will discuss what faith is, and is not, how to increase our faith, how we exercise our faith (obedience), the benefits of living a life of obedience, and practical steps to increasing our faith.","In this chapter, we will examine what faith is, and what it is not, how to increase our faith, how we exercise our faith (obedience), the benefits of living a life of obedience, and practical steps to increase our faith."
"7","0.9748","HIGH","As we did in our study on repentance, let’s examine the Greek to set the stage for our study. Understanding these terms helps us see how faith is both directional (toward God) and relational (rooted in trust and persuasion).","As we did in our study on repentance, let us look at the Greek to set the framework for our study. Understanding these terms helps us see how faith is both directional (toward God) and relational (anchored in trust and persuasion)."
"8","1.0","HIGH","[See Table 5](../tables/table5.md)","[See Table 5](../tables/table5.md)"
"9","1.0","HIGH","### Defining Faith","### Defining Faith"
"10","0.9899","HIGH","Faith is a commonly misunderstood and misrepresented aspect of Christianity. As the saying goes, “there is a ditch on both sides of the road”! Because the word faith is so commonly used without proper explanation in our modern Christianity, it can come to pick up erroneous definitions amplified through misunderstanding. Faith is often portrayed either as a blanketed statement of abstracted belief or as an almost mystical power or “magic,” something you possess in a specific measured and limited amount.","Faith is a commonly misunderstood and misrepresented aspect of Christianity. As the saying goes, “there is a ditch on both sides of the road”! Because the word faith is so often used without adequate explanation in our modern Christianity, it can come to gather erroneous definitions amplified by misunderstanding. Faith is often presented either as a blanket statement of abstract belief, or as an almost mystical power or “magic,” something you possess in a specific, measured, and limited quantity."
"11","0.9937","HIGH","#### What Faith is Not","#### What Faith Is Not"
"12","0.9504","HIGH","Faith misrepresented <u>abstractly</u> has no specific conviction or persuasion. This is often evident with a bit of probing as this representation of faith cannot be made specific. If you ask, ‘what do you believe’ or ‘why do you believe’ the person with this understanding of faith often cannot clarify beyond ‘I believe’. <span class=""x-scripture"" data-book=""1PE"" data-chapter=""3"" data-lang=""en"" data-type=""ref"" data-verses=""15"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Peter 3:15</span> says we should be ready to give an answer for the hope that is in us.","Faith represented <u>abstractly</u> has no specific conviction or persuasion. This often becomes evident with a little exploration, as this representation of faith cannot be made specific. If you ask, ‘what do you believe’ or ‘why do you believe,’ the person with this understanding of faith often cannot clarify beyond ‘I believe.’ <span class=""x-scripture"" data-book=""1PE"" data-chapter=""3"" data-lang=""en"" data-type=""ref"" data-verses=""15"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Peter 3:15</span> says that we should be ready to give an answer concerning the hope that is in us."
"13","0.9804","HIGH","Sometimes people think of faith like a magical power-but that’s not what Scripture teaches. Faith is about a real relationship built on trust. In Scripture, faith is far more dynamic and relational-it’s rooted in persuasion, trust, and confidence in God’s character and promises. It’s not an impersonal force but an engaged response to God that shapes thoughts, feelings, and actions.","Sometimes people regard faith as a magical power-but that is not what Scripture teaches. Faith is about a real relationship founded on trust. In Scripture, faith is much more dynamic and relational-it is a reality rooted in persuasion, trust, and confidence in God’s character and promises. It is not an impersonal force, but a committed response to God that shapes thoughts, feelings, and actions."
"14","1.0","HIGH","Why is belief relevant to persuasion?","Why is belief relevant to persuasion?"
"15","0.9837","HIGH","Our beliefs shape the way we see and interact with the world around us. Belief molds perception and precipitates our actions. This is how our minds are wired-we live based on what we believe is possible.","Our beliefs shape the way we see and interact with the world around us. Belief shapes perception and precipitates our actions. This is how our minds are wired-we live according to what we believe is possible."
"16","0.9866","HIGH","We act on what we perceive, understand, and believe to be possible. When we walk through a hallway our brain detects the boundaries of the floor and the wall and tells our feet automatically where we can step, and what to avoid. This truth extends beyond our physical navigation of the world around us.","We act according to what we perceive, understand, and believe to be possible. When we walk down a hallway, our brain detects the boundaries of the floor and wall and tells our feet automatically where we can step and what to avoid. This truth extends beyond our physical navigation of the world around us."
"17","0.9827","HIGH","Suppose you believe that it is impossible for you to become financially independent or live a healthy and active lifestyle. In that case your actions will follow that belief, and you, true to belief, will not do or likely even attempt what you believe is impossible.","Suppose you believe that it is impossible for you to become financially independent or to live a healthy, active life. In that case, your actions will follow that belief and, true to that belief, you will not do, nor likely even try, what you believe is impossible."
"18","0.9533","HIGH","If you believe that God has an unloving and punishing character, that perception of Him will prevent you from walking with Him as His child.","If you believe that God has a loveless and punitive character, that perception of Him will keep you from walking with Him as His child."
"19","0.9601","HIGH","#### Faith is Persuasion","#### Faith Is a Persuasion"
"20","0.9842","HIGH","So, what is faith? Persuasion! The Greek word ***pistis*** means persuasion, or the result of being persuaded. We are to have persuasion towards God. In English we might say faith (persuasion) ‘**in** God’. If you are married, you hopefully have faith ‘**in’** your spouse. You believe that they will do what they said they would do, and you believe that they are being authentic and genuine. This trust should extend beyond what they’ve said, to extend to them in general.","So, what is faith ? Persuasion ! The Greek word ***pistis*** means persuasion, or the result of being persuaded. We must have persuasion toward God. In English, one could say faith (persuasion) ‘**in** God’. If you are married, you hopefully have faith ‘**in’** your spouse. You believe that he/she will do what he/she said he/she would do, and you believe that he/she is genuine and sincere. This trust should go beyond what he/she has said, to extend to his/her person in general."
"21","0.9787","HIGH","Developing faith, persuasion, and trust in a relationship takes time and experience. Hopefully in life you have learned how to develop a trusting relationship with another person. The principles you’ve learned that allow you to increase your trust in someone you know will also allow you can increase your faith in God. Faith in a relationship is increased over time, in experience, with consistency, and through small and large actions that build your confidence in the other person’s character and nature.","Developing faith, persuasion, and trust in a relationship takes time and experience. Hopefully, over the course of your life, you have learned to develop a relationship of trust with another person. The principles you have learned, which allow you to increase your trust in someone you know, will also enable you to increase your faith in God. Faith in a relationship grows over time, through experience, with consistency, and through small and large actions that reinforce your trust in the other person's character and nature."
"22","0.9794","HIGH","‘Faith towards God’, is relational. Relationships are built by two parties, not one. The good news about our faith in God is that God is responsible for His side of the relationship (made possible by the atoning death of Jesus, and the infilling of His spirit at rebirth), and He helps us on our side too (through the work of the Comforter - the Holy Spirit). God is doing almost all the work, our part (as we will discuss later in this chapter) is to walk *WITH* Him in obedience.","‘Faith toward God’ is relational. Relationships are built by two, not one. The good news concerning our faith in God is that God is responsible for His part of the relationship (made possible by the atoning death of Jesus, and the filling of His Spirit at the new birth), and He also helps us on our side (through the work of the Comforter - the Holy Spirit). God does almost all the work, our part (as we will discuss further in this chapter) is to walk *WITH* Him in obedience."
"23","0.9644","HIGH","### Jesus Matures Our Faith","### Jesus matures our faith"
"24","0.9958","HIGH","Jesus is the author and perfecter of our faith (<span class=""x-scripture"" data-book=""HEB"" data-chapter=""12"" data-lang=""en"" data-type=""ref"" data-verses=""2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Hebrews 12:2</span>). Our faith is designed to be continually growing and expanding. We don’t reach a single point where we have enough ‘faith’, but rather our faith increases. Consider a deep and personal relationship you have in your life today. As in any relationship we don't arrive at a specific milestone where now we ‘know’ the person. We continue to know them, and increase our knowledge of them, and this refines, shapes, and grows our relationship.","Jesus is the author and the perfecter of our faith (<span class=""x-scripture"" data-book=""HEB"" data-chapter=""12"" data-lang=""en"" data-type=""ref"" data-verses=""2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Hebrews 12:2</span>). Our faith is designed to grow and continually expand. We do not reach a single point where we have enough ‘faith’, but rather our faith increases. Consider a deep and personal relationship you have in your life today. As in any relationship, we do not arrive at a specific milestone where, from then on, we ‘know’ the person. We continue to know them, and to increase our knowledge of them, and that refines, shapes, and grows our relationship."
"25","0.9752","HIGH","How do we grow our faith in God? By continuing to experience Him across His many revelations, manifestations, and attributes. Again, consider a deep personal relationship in your life. You increase the depth of relationship by engaging them in different ways, in different formats, in different mediums, in different settings. You talk to them, message them, perhaps write to them. You see them individually, and in group settings. You talk about what you value, and perhaps you challenge one another. The numerous ways go on to infinity. Across these many expressions you come to know the person more deeply.","How do we make our faith in God grow ? By continuing to experience Him through His many revelations, manifestations, and attributes. Again, consider a deep personal relationship in your life. You increase the depth of the relationship by engaging it in different ways, in different formats, through different media, in different contexts. You talk to them, send them messages, perhaps write to them. You see them individually, and in a group. You talk about what you value, and perhaps you challenge each other. The many ways extend endlessly. Through these multiple expressions, you come to know the person more deeply."
"26","0.9784","HIGH","We should all come to know God, through Jesus, as our savior. Think back to the names of God (*see the appendix),* just because we know God as savior doesn’t mean we have yet experienced Him as deliverer, healer, counselor, Lord.","We should all learn to know God, through Jesus, as our savior. Think back to the names of God (*see the appendix),* just because we know God as savior does not mean we have already experienced Him as deliverer, healer, counselor, Lord."
"27","0.9711","HIGH","If you are in a spot where you have been persuaded (faith) to know God as your savior, building this relationship will give you the confidence in His character to know Him in other ways.","If you are in a situation where you have been persuaded (faith) to know God as your savior, building this relationship will give you confidence in His character to know Him in other ways."
"28","0.9908","HIGH","I am blessed to have several very deep relationships in my life. One such relationship is with my wife. In our relationship because of the level of trust (faith) we have in each other, my wife can tell me things that she will do, that I have yet to see made manifest, and I have confidence to believe her because of her proven character.","I am blessed to have several very deep relationships in my life. One of these relationships is with my wife. In our relationship, because of the level of trust (faith) we have in each other, my wife can tell me things she will do that I have not yet seen manifest, and I am confident to believe her because of her proven character."
"29","0.9552","HIGH","This example is how our deep relationship with God can be experienced, with trust and confidence! We may not have yet fully experienced Him (indeed we never will fully experience Him in this lifetime), but as we mature in our relationship, we can trust Him beyond the boundary of what I know personally, and what I have seen already happen.","This example shows how our deep relationship with God can be lived, with confidence and assurance ! We may not yet have fully experienced Him (indeed, we will never fully know Him during this life), but as we mature in our relationship, we can trust Him beyond the limit of what I personally know, and of what I have already seen happen."
"30","0.9893","HIGH","Jesus increases our faith through experience with Him. A significant way we can and should experience Him is through His word.","Jesus increases our faith through experience with Him. An important way by which we can and should experience Him is through His word."
"31","0.9637","HIGH","### Faith Increases by the Word of God","### Faith increases through the Word of God"
"32","0.9651","HIGH","Consider this passage from Romans:","Consider this passage from Romans :"
"33","1.0","HIGH","<span class=""x-scripture"" data-book=""ROM"" data-chapter=""10"" data-lang=""en"" data-type=""quote"" data-verses=""16-17"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""ROM"" data-chapter=""10"" data-lang=""en"" data-type=""quote"" data-verses=""16-17"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
