# Drift report generated 2026-01-30T15:57:09.909104
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter3_chapter_3_sin_and_redemption.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/nepali/pipeline2/backtranslation/chapters/chapter3_chapter_3_sin_and_redemption.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9688","HIGH","Scripture tells us many stories about sin-its causes, its consequences, and how God responds to it. To sin is to fall short of God’s standard, or ‘miss the mark,’ a term from archery describing an archer’s failure to hit the target.","The Scriptures tell many stories about sin—its causes, its consequences, and how God responds to it. To sin means to fall short of God's standard, or to ‘miss the mark,’ a term from archery that describes a situation where the archer fails to hit the target."
"2","0.8983","MEDIUM","Both Old and New Testaments use various terms for sin, each highlighting aspects like its type, severity, intent, victim, nature, and required punishment. There are several broad categorizations that the scriptures use to describe sin:","Both the Old and the New Covenants use different terms for sin, which highlight aspects such as its type, severity, intent, victim, nature, and the required punishment. There are some broad categories that Scripture uses to describe sin:"
"3","0.9355","HIGH","- Sin against God, sin against man, sin against self","- Sin against God, sin against people, sin against oneself"
"4","0.8919","MEDIUM","- Intentional sin, unintentional sin","- Willful sin, unintentional sin"
"5","0.8902","MEDIUM","- Sin of a single moment, sin habitually committed","- A sin committed in a moment, a habitual sin"
"6","0.7723","LOW","- Sin requiring severe punishment like death, sin requiring financial restitution","- Sins that demand harsh punishments like the death penalty, sins that require financial restitution"
"7","0.9575","HIGH","In our modern criminal justice systems, we have similar distinctions: degrees of crime, premeditated or crimes of passion, crimes requiring financial restitution, or incarceration, or even capital punishment. An act might be both a crime and a sin, but crime is man's categorization, sin is God’s.","In our modern criminal justice system there are similar distinctions: degrees of crimes, crimes committed with premeditation or in the heat of passion, crimes that demand financial restitution, those punished by imprisonment, or even by the death penalty. An act can be both a crime and a sin, but crime is a human classification, sin is God's."
"8","0.9773","HIGH","The various Greek and Hebrew words for sin have a high level of overlap. All sin is broadly described under the umbrella term ‘missing the mark’, ***Hamartia*** in Greek, and ***Chata’*** in Hebrew. This umbrella term is used for the most severe sins, adultery, murder, but also less severe sins, like showing partiality to wealthy people in our church gatherings (<span class=""x-scripture"" data-book=""JAS"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""9"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">James 2:9</span>).","The various Greek and Hebrew words used for sin largely overlap with one another. All sin is broadly described under the umbrella term ‘to miss the mark,’ in Greek ***Hamartia***, and in Hebrew ***Chata’***. This umbrella term is used not only for grave sins—adultery, murder—but also for less serious sins such as showing favoritism toward the rich in our church gatherings (<span class=""x-scripture"" data-book=""JAS"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""9"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">James 2:9</span>)."
"9","0.9445","HIGH","Here are some words the Scriptures use for sin. They help us understand how serious sin is-and how deeply we need God's grace.","Here are some of the terms that Scripture uses for sin. They help us understand how serious sin is—and how deeply we need God's grace."
"10","1.0","HIGH","[See Table 2](../tables/table2.md)","[See Table 2](../tables/table2.md)"
