# Drift report generated 2026-01-30T15:50:59.615443
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter11_chapter_11_baptisms_water_and_spirit.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/bengali/pipeline2/backtranslation/chapters/chapter11_chapter_11_baptisms_water_and_spirit.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9272","HIGH","Baptism in our modern age, separated from the Jewish roots, is typically only thought of in terms of water baptism, and the Holy Spirit baptism (Pentecost).","In our modern age, detached from Jewish roots, baptism is generally thought of only as water baptism, and the baptism of the Holy Spirit (Pentecost)."
"2","0.9415","HIGH","The book of Hebrews was written to a Jewish audience. The overwhelming majority of Christians in our modern age do not have Jewish roots or heritage. Without the Jewish roots and culture many of us do not have the cultural context for things that 1st century messianic Jews (those Jewish believers professing Jesus) would have shared. As we were not raised in the Jewish tradition we don’t typically know much about the feasts, fasts, prayers, washings, rites, and rituals that Jewish believers would know.","The Epistle to the Hebrews was written to a Jewish audience. The vast majority of Christians in our modern age have no Jewish roots or heritage. Lacking Jewish roots and culture, many of us do not have the cultural context that 1st-century Messianic Jews (Jewish believers who acknowledge Jesus) shared. Because we did not grow up in Jewish tradition, we generally do not know very much about the things Jewish believers knew—festivals, fasts, prayers, washings, statutes, and rituals."
"3","0.9799","HIGH","The word for baptisms, or washings, in the Greek is: **Baptismos** (bap-tis-mos’ - **G909**) - The act of dipping or washing. Refers to ceremonial washings or ritual cleansing. It can indicate immersion, purification rites, or washings practiced in Jewish and Christian contexts.","In Greek, the word used for baptisms, or washings, is: **Baptismos** (bap-tis-mos’ - **G909**) - the act of dipping or washing. It denotes ceremonial washing or ritual purification. It can refer to immersions, purification rites, or washings common in Jewish and Christian contexts."
"4","0.9495","HIGH","Baptisms is one of the foundational doctrines mentioned in Hebrews:","Baptism is one of the foundational teachings mentioned in Hebrews:"
"5","1.0","HIGH","<span class=""x-scripture"" data-book=""HEB"" data-chapter=""6"" data-lang=""en"" data-type=""quote"" data-verses=""1-2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""HEB"" data-chapter=""6"" data-lang=""en"" data-type=""quote"" data-verses=""1-2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"6","1.0","HIGH","> **<u>Hebrews 6:1-2</u>** (NKJV)\\n>\\n> Therefore, leaving the discussion of the elementary principles of Christ, let us go on to perfection, not laying again the foundation of repentance from dead works and of faith toward God,\\n>\\n> of the doctrine of baptisms, of laying on of hands, of resurrection of the dead, and of eternal judgment.\\n>","> **<u>Hebrews 6:1-2</u>** (NKJV)\\n>\\n> Therefore, leaving the discussion of the elementary principles of Christ, let us go on to perfection, not laying again the foundation of repentance from dead works and of faith toward God,\\n>\\n> of the doctrine of baptisms, of laying on of hands, of resurrection of the dead, and of eternal judgment.\\n>"
"7","1.0","HIGH","</span>","</span>"
"8","0.9279","HIGH","## Old Covenant Washings - Historical Context","## The Washings of the Old Covenant - Historical Context"
"9","0.9926","HIGH","In the Old Covenant, ceremonial washings played a central role in maintaining ritual purity and symbolizing holiness before God. These washings were prescribed in the Law of Moses and applied both to the priests who served in the Tabernacle and to the people of Israel. For example, priests were required to wash their hands and feet at the bronze basin before entering the Tabernacle or approaching the altar, symbolizing their readiness to serve in the presence of a holy God (<span class=""x-scripture"" data-book=""EXO"" data-chapter=""30"" data-lang=""en"" data-type=""ref"" data-verses=""18-21"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Exodus 30:18-21</span>). Similarly, rituals for cleansing individuals from defilement, such as contact with a dead body or skin diseases, involved washing with water as a sign of restoration to purity (<span class=""x-scripture"" data-book=""LEV"" data-chapter=""14"" data-lang=""en"" data-type=""ref"" data-verses=""8"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Leviticus 14:8</span>; <span class=""x-scripture"" data-book=""NUM"" data-chapter=""19"" data-lang=""en"" data-type=""ref"" data-verses=""17-19"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Numbers 19:17-19</span>). These acts served as outward demonstrations of an inward desire for holiness, emphasizing the importance of being set apart for God.","In the Old Covenant, ceremonial washings played a central role in maintaining ritual purity before God and symbolizing holiness. These washings were prescribed in the Law of Moses and applied both to the priests who served in the tabernacle and to the people of Israel. For example, before entering the tabernacle or approaching the altar, the priests were required to wash their hands and feet in the bronze laver, symbolizing preparation to serve in the presence of a holy God (<span class=""x-scripture"" data-book=""EXO"" data-chapter=""30"" data-lang=""en"" data-type=""ref"" data-verses=""18-21"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Exodus 30:18-21</span>). Similarly, rites to cleanse a person from impurity—such as contact with a dead body or skin disease—included washing with water as a sign of restoration to holiness (<span class=""x-scripture"" data-book=""LEV"" data-chapter=""14"" data-lang=""en"" data-type=""ref"" data-verses=""8"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Leviticus 14:8</span>; <span class=""x-scripture"" data-book=""NUM"" data-chapter=""19"" data-lang=""en"" data-type=""ref"" data-verses=""17-19"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Numbers 19:17-19</span>). These acts served as outward expressions of an inner desire for holiness, emphasizing the importance of being set apart for God."
"10","0.9886","HIGH","The ceremonial washings in the Old Testament required regular repetition to maintain ritual purity. Unlike permanent solutions, these rituals only provided temporary external cleansing, leaving the deeper issue of sin unresolved. The writer of Hebrews highlights this limitation, explaining that these practices were “symbolic for the present time,” unable to clear the conscience of the worshiper (<span class=""x-scripture"" data-book=""HEB"" data-chapter=""9"" data-lang=""en"" data-type=""ref"" data-verses=""9-10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Hebrews 9:9-10</span>). These washings acted as constant reminders of human imperfection and the need for something greater-an ultimate purification that could cleanse not just the body, but the heart and soul as well.","The ceremonial washings of the Old Testament required regular repetition to maintain ritual purity. Unlike a permanent solution, these rites provided only temporary external cleansing, leaving the deeper problem of sin unresolved. The author of Hebrews highlights this limitation, explaining that these practices were “symbolic for the present time,” unable to cleanse the worshiper’s conscience (<span class=""x-scripture"" data-book=""HEB"" data-chapter=""9"" data-lang=""en"" data-type=""ref"" data-verses=""9-10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Hebrews 9:9-10</span>). These washings served as constant reminders of human imperfection and pointed to the need for something greater—a final cleansing that could purify not just the body but also the heart and soul."
"11","0.9932","HIGH","The ceremonial washings of the Old Covenant find their fulfillment in Christ, who provides complete and eternal cleansing through His sacrifice. Unlike the temporary rituals of the law, Christ’s blood purifies fully, cleansing not just the flesh but also the conscience (<span class=""x-scripture"" data-book=""HEB"" data-chapter=""9"" data-lang=""en"" data-type=""ref"" data-verses=""13-14"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Hebrews 9:13-14</span>). Through His death and resurrection, Jesus accomplished what the Old Testament rituals could only foreshadow-true reconciliation with God. <span class=""x-scripture"" data-book=""HEB"" data-chapter=""10"" data-lang=""en"" data-type=""ref"" data-verses=""22"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Hebrews 10:22</span> calls believers to “draw near with a true heart in full assurance of faith, having our hearts sprinkled clean from an evil conscience and our bodies washed with pure water.” This language ties Christ’s work to the imagery of Old Testament washings while showing its far superior efficacy. His sacrifice does not merely cover sin but removes it completely (<span class=""x-scripture"" data-book=""1JN"" data-chapter=""1"" data-lang=""en"" data-type=""ref"" data-verses=""7"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 John 1:7</span>). In this way, the ceremonial washings served as a shadow, pointing to the deeper cleansing that only Christ could provide, fulfilling humanity’s need for holiness through divine intervention.","The ceremonial washings of the Old Covenant find their fulfillment in Christ, who through His sacrifice provides complete and everlasting cleansing. Unlike the temporary rites of the Law, the blood of Christ thoroughly purifies, cleansing not only the body but also the conscience (<span class=""x-scripture"" data-book=""HEB"" data-chapter=""9"" data-lang=""en"" data-type=""ref"" data-verses=""13-14"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Hebrews 9:13-14</span>). Through His death and resurrection, Jesus accomplishes what the Old Testament rites could only foreshadow—true reconciliation with God. <span class=""x-scripture"" data-book=""HEB"" data-chapter=""10"" data-lang=""en"" data-type=""ref"" data-verses=""22"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Hebrews 10:22</span> calls believers to “draw near with a true heart in full assurance of faith, having our hearts sprinkled from an evil conscience and our bodies washed with pure water.” This language connects Christ’s work to the imagery of Old Testament washings while demonstrating its far greater effectiveness. His sacrifice not only covers sin but removes it completely (<span class=""x-scripture"" data-book=""1JN"" data-chapter=""1"" data-lang=""en"" data-type=""ref"" data-verses=""7"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 John 1:7</span>). Thus, the ceremonial washings served as a kind of shadow, pointing to the profound cleansing that only Christ can provide, fulfilling humanity’s need for holiness through divine intervention."
"12","0.9682","HIGH","To reiterate this point, Christians are under no obligation to perform any ceremonial washing. Washings did not provide salvation under the old covenant and do not provide salvation in the new covenant. Ceremonial washing will not increase our standing with God, nor gain us favor. Paul strongly condemns the Judaizers of Galatia (read Galatians) who tried to mix in requirements of the Jewish context as necessary for salvation (e.g., circumcision). Salvation is by faith in Jesus alone!","To reiterate, Christians are not obligated to perform any ceremonial washings. Under the Old Covenant, washings did not save, nor do they in the New Covenant. Ceremonial washings will not improve our standing with God or earn us favor. Paul strongly condemns the ‘Judaizers’ (read the Epistle to the Galatians), who tried to conflate demands from the Jewish context (e.g., circumcision) as necessary for salvation. Salvation is by faith in Jesus alone!"
"13","0.9993","HIGH","## John’s Baptism","## John’s Baptism"
"14","0.9532","HIGH","In the New Testament canon there are several baptisms mentioned. We’ve already discussed the baptisms and washings of the Jewish tradition.","In the New Testament canon, multiple baptisms are mentioned. We have already discussed the baptisms and washings of Jewish tradition."
