# Drift explanation generated 2026-01-30T14:07:54.350752
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/russian/pipeline2/analysis/chapters/drift_report_chapter1_chapter_1_sound_doctrine_matters_vs_chapter1_chapter_1_sound_doctrine_matters.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"2","0.8768","MEDIUM","yes","doctrinal","The original paragraph uses the term 'doctrine,' which implies a set of beliefs or principles, while the back-translated paragraph uses 'teaching,' which may suggest a broader or less formal set of instructions. This change alters the doctrinal emphasis of the original statement.","When Jesus instructed His church to ‘teach’, He was instructing them to share His doctrine.","When Jesus commanded His church to “teach,” He commanded them to share His teaching."
"6","0.9055","MEDIUM","no","paraphrase","Both paragraphs convey the same core message that Jesus encourages individuals to learn and share His teachings with others, with no significant changes in doctrinal meaning, logical relationships, or intent.","In other words, Jesus is instructing all of us to learn His teachings and to replicate them in others.","In other words, Jesus calls all of us to learn His teaching and reproduce it in others."
"20","0.8924","MEDIUM","no","paraphrase","Both paragraphs convey the same core message about the importance of personal spiritual growth and the responsibility to teach and disciple others in the faith, with only slight variations in wording.","Jesus’ charge extends beyond us. It’s great that we become whole, healthy, disciplined, submitted to God, but we must teach, train, equip, lead, and disciple others into the faith as well!","Jesus' commission extends beyond ourselves. It is good that we become whole, healthy, disciplined, and submitted to God, but we must also teach, instruct, equip, lead, and make disciples, bringing others to faith!"
"32","0.9019","MEDIUM","no","paraphrase","Both paragraphs convey the same reassurance that support is available, with no significant change in meaning or intent.","Don’t worry, we do not have to go this alone.","Don't worry, we don't have to go through this alone."
"42","0.8796","MEDIUM","no","paraphrase","The back-translation uses 'labor' instead of 'do work,' but both phrases convey the same concept of being able to perform tasks and produce results, maintaining the original intent and meaning.","- Able to do work and bear fruit","- Able to labor and bear fruit"
"43","0.8636","MEDIUM","no","paraphrase","The phrases 'Unified in the faith' and 'United in faith' convey the same conceptual meaning of togetherness in belief, with no significant change in doctrinal or intentional aspects.","- Unified in the faith","- United in faith"
"44","0.9085","MEDIUM","no","paraphrase","The phrases 'full of' and 'filled with' convey the same concept of possessing knowledge of God, with no significant change in meaning.","- Full of the knowledge of God","- Filled with the knowledge of God"
"48","0.917","MEDIUM","no","paraphrase","The back-translation maintains the same doctrinal meaning and logical relationship as the original, simply rephrasing it without altering the core message about the significance of children in God's family.","Children are an important part of the family of God, but children are inherently:","Children are an important part of God’s family, but children are by nature:"
"50","0.895","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, simply using 'people' instead of 'actors' without altering the overall intent or implications.","- Naive - unable to discern between good and bad actors.","- Naive - unable to discern good and bad people."
"53","0.8908","MEDIUM","yes","doctrinal","The original paragraph emphasizes 'sound doctrine' as a defense against 'wickedness,' which carries a moral connotation, while the back-translation uses 'protection from ungodliness,' which may imply a broader, less specific concept of moral failure. This shift alters the focus from a specific type of evil to a more general state of being.","### Sound doctrine Provides a Defense Against the Wickedness of the World","### Sound doctrine provides protection from the ungodliness of the world"
"65","0.8961","MEDIUM","yes","doctrinal","The back-translation uses 'training' instead of 'study,' which may imply a broader or different context of learning. Additionally, 'thrown off course' and 'perverted influences' suggest a more severe deviation from sound teaching compared to 'led astray' and 'perverse influences,' potentially altering the emphasis on the seriousness of the influences.","We must be careful and diligent in our study, sound teaching of the scriptures can be led astray by several perverse influences.","We must be careful and diligent in our training: the sound teaching of the Scriptures can be thrown off course by several perverted influences."
"87","0.8588","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, simply substituting 'doctrines' with 'teachings' without altering the intent or logical relationship.","What are His doctrines, what will we study?","What are His teachings that we will study?"
"92","0.8057","LOW","no","paraphrase","Both paragraphs convey the same idea of studying fundamental teachings or doctrines, with no significant change in meaning.","The core doctrines we will study are:","The main teachings that we will study:"
"93","0.8659","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, referring to the essential teachings of Christ without altering the doctrinal or intentional aspects.","1.  Principle doctrines of the Christ (the Anointed One)","1.  The foundational teachings of Christ (the Anointed One)"
"95","0.9144","MEDIUM","yes","doctrinal","The phrase 'faith towards God' implies a directional aspect of faith that may suggest an active pursuit or relationship, while 'faith in God' is more straightforward and can be interpreted as a general belief or trust in God. This subtle difference can affect the understanding of the nature of faith in a theological context.","3.  Faith towards God","3.  Faith in God"
"103","0.795","LOW","yes","doctrinal","The original phrase 'Making disciples' emphasizes the active process of engaging in discipleship, while 'Discipleship' refers to the broader concept or state of being a disciple. This shift changes the focus from the action of creating disciples to the condition of being a disciple.","- Making disciples","- Discipleship"
"106","0.9131","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, simply rephrasing 'Personal Reflection Questions' to 'Questions for personal reflection' without altering the intent or logical relationship.","## Personal Reflection Questions","## Questions for personal reflection"
"111","0.8798","MEDIUM","yes","doctrinal","The original uses 'teachings' which implies a broader, possibly more practical approach, while 'doctrines' in the back-translation suggests a more formal or rigid set of beliefs. Additionally, 'discipling' conveys a specific religious mentoring context, whereas 'mentoring' is more general and may lack the same spiritual connotation.","5.  Who in your life could benefit from learning these foundational teachings, and how can you begin discipling them?","5.  Who in your life could benefit from studying these foundational doctrines, and how can you begin to mentor them?"
