# Drift report generated 2025-12-30T02:26:55.553962
# Source file: /Users/andrew/repo/principles-of-faith/english/chapters/chapter13_chapter_13_spiritual_authority.md
# Back translation: /Users/andrew/repo/kli-translation-pipeline_principles-of-faith/urdu/pipeline2/backtranslation/chapters/chapter13_chapter_13_spiritual_authority.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9796","HIGH","Jesus is the ultimate and complete source of spiritual authority. As the triumphant Christ He has final authority over all things in heaven and the earth.","Jesus is the ultimate and complete source of spiritual authority. As the victorious Christ, He has final authority over everything in heaven and on earth."
"2","1.0","HIGH","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""quote"" data-verses=""18-20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""quote"" data-verses=""18-20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"3","0.9903","HIGH","> **<u>Matthew 28:18-20</u>** (NKJV)\\n>\\n> And Jesus came and spoke to them, saying, ""All authority has been given to Me in heaven and on earth.\\n>\\n> Go therefore and make disciples of all the nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit,\\n>\\n> teaching them to observe all things that I have commanded you; and lo, I am with you always, even to the end of the age."" Amen.\\n>","> **<u>Matthew 28:18-20</u>** (NKJV)\\n>\\n> And Jesus came to them and said to them, ""All authority in heaven and on earth has been given to Me.\\n>\\n> Therefore go and make disciples of all nations, and baptize them in the name of the Father and of the Son and of the Holy Spirit,\\n>\\n> and teach them to observe all things that I have commanded you; and behold, I am with you always, to the end of the world."" Amen.\\n>"
"4","1.0","HIGH","</span>","</span>"
"5","0.9828","HIGH","In this chapter we will study the authority and power of Christ, which authorities and powers He has delegated to us (His church), and how to operate in the authority of the name of Jesus. We will also study angelic and demonic beings and examine their authority, power, and natures.","In this chapter we will study the authority and power of Christ, the authorities and powers that He has entrusted to us (His Church), and how to operate in the authority of Jesus' name. We will also study angelic and demonic beings and examine their authority, power, and natures."
"6","0.963","HIGH","Authority means having the right to act. Power is the ability to carry it out. Both are essential in the spiritual life. Authority is different from power. Let’s look at the following table which compares authority &amp; power and consider a few examples.","By authority is meant having the right to act. By power is meant the ability to carry it out. In the spiritual life both are necessary. Authority is different from power. Let us look at the following table that compares authority &amp; power, and consider a few examples."
"7","1.0","HIGH","[See Table 7](../tables/table7.md)","[See Table 7](../tables/table7.md)"
"8","0.9772","HIGH","Here are a few examples to help understand the difference between power and authority.","Here are a few examples to help understand the difference between authority and power."
"9","0.8893","MEDIUM","Example 1: At work, an employee may have the talents and skills to conduct a sale of the company's assets (power). This power is lawful if they also have the associated permission (authority) from the company’s owners. Without this authority, selling the company's assets is theft.","Example 1: In the workplace, an employee may have the abilities and skills (power) to sell the company's assets. This power is legitimate only when he also has the relevant authorization (authority) from the owners of the company. Without this authority, selling the company's assets is theft."
"10","0.9526","HIGH","Example 2: A police officer is given special training in weapons and hand-to-hand combat to learn how to apprehend and physically compel a criminal (power). Police officers have been given the job responsibility backed up by laws (authority) to enforce criminal statutes.","Example 2: A police officer receives specialized training in weapons and hand-to-hand combat so that he learns how to arrest and physically subdue a criminal (power). Police officers are given a legally backed duty of office (authority) to enforce criminal laws."
"11","0.9678","HIGH","## What is Jesus’ Authority?","## What is Jesus' authority?"
"12","0.9299","HIGH","As Jesus said in Matthew, ‘All authority’ has been given. Let's look at precisely what that authority entails:","As Jesus said in Matthew, 'all authority' has been given. Let us see exactly what is included in this authority:"
"13","0.9399","HIGH","- Over Heaven and Earth","- Over heaven and earth"
"14","0.9997","HIGH","- Over life and death","- Over life and death"
"15","0.9999","HIGH","- Over sin and forgiveness","- Over sin and forgiveness"
"16","0.8922","MEDIUM","- Over demons and spiritual forces","- Over evil spirits and spiritual forces"
"17","0.9643","HIGH","- Over sickness and disease","- Over sicknesses and diseases"
"18","0.7753","LOW","- To judge humanity","- The authority to judge humanity"
"19","1.0","HIGH","- Over the Church","- Over the Church"
"20","1.0","HIGH","- Over creation and nature","- Over creation and nature"
"21","0.9884","HIGH","- Over death, Hell, and the grave","- Over death, hell, and the grave"
"22","1.0","HIGH","- To empower believers","- To empower believers"
"23","0.9675","HIGH","### Authority Over Heaven and Earth","### Authority over heaven and earth"
"24","0.9998","HIGH","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""quote"" data-verses=""18"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""quote"" data-verses=""18"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"25","0.9937","HIGH","> **<u>Matthew 28:18</u>** (NKJV)\\n>\\n> And Jesus came and spoke to them, saying, ""All authority has been given to Me in heaven and on earth.\\n>","> **<u>Matthew 28:18</u>** (NKJV)\\n>\\n> And Jesus came and spoke to them, and said, ""All authority in heaven and on earth has been given to Me.\\n>"
"26","1.0","HIGH","</span>","</span>"
"27","0.9855","HIGH","Christ’s authority extends to everything in creation, including the physical and spiritual realms. This authority establishes His sovereign rule as King of kings and Lord of lords (<span class=""x-scripture"" data-book=""REV"" data-chapter=""19"" data-lang=""en"" data-type=""ref"" data-verses=""16"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Revelation 19:16</span>). It forms the foundation for the Great Commission, empowering believers to spread the Gospel.","Christ’s authority extends to all creation, which includes both the physical and spiritual realms. This authority establishes His rule as the King of kings and Lord of lords (<span class=""x-scripture"" data-book=""REV"" data-chapter=""19"" data-lang=""en"" data-type=""ref"" data-verses=""16"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Revelation 19:16</span>). It is the foundation of the Great Commission, which empowers believers to spread the gospel."
"28","0.9696","HIGH","### Authority Over Life and Death","### Authority over life and death"
