# Drift explanation generated 2026-01-30T15:25:01.971654
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/somali/pipeline2/analysis/chapters/drift_report_chapter3_chapter_3_sin_and_redemption_vs_chapter3_chapter_3_sin_and_redemption.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"4","0.9174","MEDIUM","no","paraphrase","The terms 'intentional' and 'deliberate' are synonymous in this context, and both paragraphs convey the same concepts of sin, maintaining the original meaning without any doctrinal or logical changes.","- Intentional sin, unintentional sin","- Deliberate sin, unintentional sin"
"5","0.7919","LOW","no","paraphrase","The back-translation retains the original concepts of a one-time sin versus a habitual sin without altering their doctrinal meaning or intent.","- Sin of a single moment, sin habitually committed","- One-time sin, habitual sin"
"18","0.886","MEDIUM","no","paraphrase","Both paragraphs convey the same idea that the individual did not provide an acceptable sacrifice or offering. The terms 'proper sacrifice' and 'right offering' are synonymous in this context, indicating no significant change in meaning.","1.  He failed to offer a proper sacrifice.","1.  He failed to bring the right offering."
"23","0.8377","LOW","yes","doctrinal","The term 'sacrifice' carries specific theological implications, often related to atonement or offering to a deity, while 'offering' is more general and may not convey the same depth of meaning in a religious context.","- His sacrifice was not accepted.","- His offering was not accepted."
"24","0.7024","CRITICAL","yes","doctrinal","The original paragraph emphasizes a personal feeling of misery regarding a sacrifice, which carries a specific emotional and spiritual weight. The back-translation shifts the focus to a more general sense of dejection about an offering, potentially altering the significance of the act and its implications.","- He felt miserable about the state of his sacrifice.","- He became dejected about his offering."
"25","0.7548","LOW","no","paraphrase","Both phrases convey the same idea that sin has a powerful and consuming effect on the individual. The back-translation maintains the original's intent and meaning without introducing any significant changes.","- He was devoured by sin.","- Sin consumed him."
"28","0.8596","MEDIUM","yes","doctrinal","The original implies a definitive lack of relief from punishment, while the back-translation suggests a more general state of unrest. This shifts the focus from a specific punishment to a broader sense of discomfort, altering the theological implications of Cain's suffering.","- Cain had to endure his punishment; he would not get relief.","- Cain must endure his punishment; he will find no rest."
"31","0.9093","MEDIUM","no","paraphrase","Both paragraphs convey the same idea that Cain's sin had significant consequences for himself and others, maintaining the original intent and meaning without introducing any doctrinal or logical changes.","Pretty severe! Cain’s sin carried a hefty price for himself, for Able, for his parents, and for his own future family and lineage.","Very serious! Cain's sin came at a heavy cost to himself, Abel, his parents, and the future of his family and descendants."
"76","0.6478","CRITICAL","yes","doctrinal","The term 'Collective Sin' implies a shared moral failing among a group, often with theological implications about communal responsibility, while 'Corporate Sin' suggests a sin associated with a specific organization or institution, potentially altering the focus from a broader communal aspect to a more institutional one.","## Collective Sin","## Corporate Sin"
"77","0.8943","MEDIUM","no","paraphrase","The back-translation maintains the original meaning regarding the offerings for sin, both individual and collective, and emphasizes the significance of the Day of Atonement without altering the doctrinal or logical relationships.","In addition to these specific offerings for individual sin, there were also sacrifices and offerings for the collective sin of the nation made daily, weekly, monthly, but the most important of these is the **Day of Atonement.**","In addition to these individual offerings for personal sin, there were also offerings and gifts made for national, corporate sin, performed daily, weekly, monthly, but the most important of these was the Day of Atonement."
"92","0.8323","LOW","no","paraphrase","Both paragraphs convey the same core idea that all individuals are guilty of sin and must face consequences for their actions, with no significant changes in doctrinal meaning, logical relationships, or intent.","The reality is we are all guilty of sin, and we must all pay the price for our transgression.","Indeed, we all have sinned, and we must all pay the penalty for our transgression."
