# Drift report generated 2026-01-30T16:23:33.350432
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter5_chapter_5_repentance_from_dead_works.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/punjabi/pipeline2/backtranslation/chapters/chapter5_chapter_5_repentance_from_dead_works.md
"id","similarity","translation_quality","source","back_translation"
"1","0.971","HIGH","Oftentimes in Christianity we think about repentance as fundamental only to the beginning of our faith in Jesus. The heart of repentance goes much deeper than turning away from sin unto salvation. Repentance from dead works means living with our hearts turned away from the things that harm us or stunt our growth-and turned toward the things of God.","Often in Christianity we consider repentance to be fundamental only for the beginning of our faith in Jesus. The core meaning of repentance is much deeper than just turning from sin and going toward salvation. Repentance from dead works means that we turn our hearts away from those things that harm us or hinder our growth-and turn toward the things of God."
"2","0.9454","HIGH","The author of Hebrews sets ‘repentance from dead works’ as the first item in the list of the foundational doctrines after the foundational principles of the Messiah (Chapter 4).","The author of Hebrews has placed ‘repentance from dead works’ first in the list of essential teachings after the foundational elementary principles of the Messiah (chapter 4)."
"3","1.0","HIGH","<span class=""x-scripture"" data-book=""HEB"" data-chapter=""6"" data-lang=""en"" data-type=""quote"" data-verses=""1"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""HEB"" data-chapter=""6"" data-lang=""en"" data-type=""quote"" data-verses=""1"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"4","1.0","HIGH","> **<u>Hebrews 6:1</u>** (NKJV)\\n>\\n> Therefore, leaving the discussion of the elementary principles of Christ, let us go on to perfection, not laying again the foundation of repentance from dead works and of faith toward God,\\n>","> **<u>Hebrews 6:1</u>** (NKJV)\\n>\\n> Therefore, leaving the discussion of the elementary principles of Christ, let us go on to perfection, not laying again the foundation of repentance from dead works and of faith toward God,\\n>"
"5","1.0","HIGH","</span>","</span>"
"6","0.9383","HIGH","Let's take an in-depth look at the Greek for this phrase:","Let’s take a deeper look at the Greek for this phrase:"
"7","0.9996","HIGH","[See Table 4](../tables/table4.md)","[See Table 4](../tables/table4.md)"
"8","1.0","HIGH","### Dead Works","### Dead Works"
"9","0.93","HIGH","Every person who has ever been employed knows what work is. Work is the set of tasks that you undertake to receive a paycheck so you can earn a living (employment). Employment is an agreement to trade your talents and efforts for something of value that will help sustain you. You work because you get something out of it.","Anyone who has ever had a job knows what work is. Work is the collection of tasks you do in order to get paid so that you can earn your livelihood (employment). Employment is an agreement in which you exchange your talents and efforts for something of value that helps keep your life going. You do work because you get something from it."
"10","0.9798","HIGH","Our work is important, it can bring a sense of purpose, often a sense of identity. It's very common to be asked ‘What do you do for a living?’ and the response begins with a statement of identity ‘I am’. While work can be enjoyable and purposeful, it is also very likely to be physically or mentally tough, difficult, challenging, and stressful. If your job is none of these things, you might find it too menial and boring.","Our work is important; it can provide a sense of purpose, often a sense of identity. People often ask, ‘What do you do for a living?’ and the answer begins with a statement of identity, ‘I am’. While work can be enjoyable and purpose-filled, it is very likely to be physically or mentally hard, difficult, challenging, and stressful. If your job is none of these, you may find it very menial and boring."
"11","0.9814","HIGH","If you work a 40-hour a week job, and sleep 8 hours per night, you spend 36% of your waking hours working, and this excludes the time you spend getting ready to work, commuting to work, taking care of a household, and all the other necessary tasks you need to do to keep the your life on track.","If you work a 40-hour job in a week, and sleep 8 hours each night, then you spend 36% of your waking hours working, and that does not include the time you spend getting ready for work, commuting to and from work, handling household chores, and all those other necessary tasks you have to do to keep your life on track."
"12","0.9603","HIGH","Why do we do all this work? It varies, but definitionally because we get something of value from it.","Why do we do all this work? It can vary, but by definition because we get something valuable from it."
"13","0.9037","MEDIUM","Would you continue to work at a job if they stopped paying you? For most of us the easy and painfully obvious answer is a resounding, NO!","If they stopped paying you, would you keep working? For most of us, the easy and painfully obvious answer comes very quickly: no!"
"14","0.9525","HIGH","Would you continue to work at a job if it was killing you? I suppose it depends on how quickly.","If a job were killing you, would you continue working in it? I think that depends on how quickly."
"15","0.9424","HIGH","The context of ***nekros*** joined with ***erga*** is labor or work that is dead, has no vitality, cannot reproduce! The author of Hebrews is warning us of labor that is dead.","In the context of combining ***nekros*** with ***erga***, the meaning is labor or work that is dead, that has no vitality, that cannot reproduce! The author of Hebrews is warning us against labor that is dead."
"16","0.9763","HIGH","In the study of biology, there are several criteria that are used to determine if an organism is alive (this is a partial list used for our purpose):","In the study of biology, several criteria are used to determine whether a living organism is alive or not (this is a partial list used for our purpose):"
"17","0.9735","HIGH","1.  **Metabolism**: Living things convert energy through metabolic processes to grow, develop, and sustain themselves.","1.  **Metabolism**: Living things convert energy through metabolic processes in order to grow, develop, and maintain themselves."
"18","0.9941","HIGH","2.  **Growth and Development**: Life involves growth and progression over time, with a specific life cycle and developmental changes.","2.  **Growth and development**: Life involves growth and progression over time, with a specific life cycle and developmental changes."
"19","0.9184","MEDIUM","3.  **Reproduction**: Living things have the capacity to reproduce, creating offspring or new entities.","3.  **Reproduction**: Living things have the ability to reproduce, through which they produce offspring or new individuals."
"20","0.9764","HIGH","4.  **Response to Stimuli**: Life responds to external stimuli (like light, heat, or sound) and can adjust to changes in the environment.","4.  **Response to stimuli**: Life responds to external stimuli (such as light, heat, or sound) and can adjust itself according to changes occurring in the environment."
"21","0.9997","HIGH","5.  **Homeostasis**: Living organisms maintain internal stability, such as temperature regulation or pH balance.","5.  **Homeostasis**: Living organisms maintain internal stability, such as temperature regulation or pH balance."
"22","0.9493","HIGH","6.  **Adaptation**: Over time, living things can adapt to their environments through genetic changes, allowing survival in various conditions.","6.  **Adaptation**: Over time, organisms can adapt to their environments through genetic changes, which makes survival in various conditions possible."
"23","0.9371","HIGH","If we apply this standard of ‘life’ to our works with a bit of creative license, then dead works are those that:","If we apply this criterion of ‘life’ to our deeds with a bit of creative license, then dead works are those that:"
"24","0.9069","MEDIUM","1.  Do not permit personal growth or development.","1.  do not allow personal growth or progress."
"25","0.9316","HIGH","2.  Do not reproduce, cannot produce a positive or desirable result.","2.  do not reproduce, cannot produce any positive or desired outcome."
"26","0.9559","HIGH","3.  Do not respond to external stimuli, the light of God’s presence or the sound of His voice.","3.  do not respond to external stimuli, the light of God’s presence, or the sound of His voice."
"27","0.9286","HIGH","4.  Do not maintain internal stability, become dis-regulated, are not self-controlled.","4.  do not maintain internal stability, become uncontrolled, are not self-controlled."
"28","0.9833","HIGH","5.  Do not adapt (are too rigid) and no longer help us survive.","5.  do not adapt (are too rigid) and no longer help us survive."
"29","0.9579","HIGH","Dead works are not God’s desire for us. God wants to bring us life!","Dead works are not God’s will for us. God wants to give us life!"
"30","0.999","HIGH","<span class=""x-scripture"" data-book=""JHN"" data-chapter=""10"" data-lang=""en"" data-type=""quote"" data-verses=""10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""JHN"" data-chapter=""10"" data-lang=""en"" data-type=""quote"" data-verses=""10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"31","0.9806","HIGH","> **<u>John 10:10</u>** (NKJV)\\n>\\n> The thief does not come except to steal, and to kill, and to destroy. I have come that they may have life, and that they may have it more abundantly.\\n>","> **<u>John 10:10</u>** (NKJV)\\n>\\n> The thief does not come but to steal, kill, and destroy. I have come so that they may have life, and that they may have it in abundance.\\n>"
"32","1.0","HIGH","</span>","</span>"
"33","0.869","MEDIUM","While dead versus alive is a binary. Dying is a gradient. Our dead works may not be completely dead across every single category, yet, but they will become so! Dead works are like poisons, some have greater effects.","Where dead and living are a dichotomy. Death is a spectrum. Our dead works may not yet be completely dead in every category, but they will be! Dead works are like poisons; some have stronger effects."
"34","0.9559","HIGH","Poison hurts the body by preventing it from functioning normally. Some poisons have small effects, like a headache. Others affect how we think, see, or even if we can bear children (live fruitfully). Dead works are just like that. They may just be a headache, or they may cause death.","Poison harms the body by stopping its normal functioning. Some poisons have minor effects, like a headache. Others affect our thinking, our way of seeing, or even whether we can have children (living fruitfully). Dead works are exactly the same. They may sometimes be only a headache, or they can also be the cause of death."
"35","0.9412","HIGH","Dead works are any works that in review and consideration are not bringing the abundant life that Jesus promised. Having an extra marital affair is very strong poison, it's likely to have a full and negative effect quite soon. Being a needlessly stubborn and resentful person will slowly poison a person until they’ve driven everyone away from them.","Dead works are all actions that, upon review and reflection, are not bringing the abundant vitality promised by Jesus. Having extramarital relations is a very potent poison; its full and negative effect is likely to set in quickly. Being needlessly stubborn and resentful will slowly poison a person, until they have driven everyone around them away from them."
"36","0.886","MEDIUM","To be delivered from dead works, we must repent!","To be rid of dead works, we must repent!"
"37","1.0","HIGH","### Repentance","### Repentance"
"38","0.94","HIGH","To ‘repent from dead works’ is to turn to God and leave behind anything that is hurting our walk with Him-starting with a change of heart and mind.","‘Repenting from dead works’ means turning to God and leaving behind whatever is harming our journey with Him - beginning with a change of heart and mind."
