# Drift explanation generated 2026-01-30T16:10:56.498350
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/nepali/pipeline2/analysis/chapters/drift_report_chapter6_chapter_6_faith_toward_god_vs_chapter6_chapter_6_faith_toward_god.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"9","0.8775","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, simply rephrasing 'Defining Faith' to 'Definition of Faith' without altering its intent or doctrinal implications.","### Defining Faith","### Definition of Faith"
"14","0.722","CRITICAL","yes","doctrinal","The original uses 'belief,' which can encompass a broader range of convictions, while 'faith' typically implies a stronger, often religious conviction. This shift alters the doctrinal nuance of the relationship to persuasion.","Why is belief relevant to persuasion?","Why is faith related to persuasion?"
"26","0.9148","MEDIUM","no","paraphrase","Both paragraphs convey the same core message about knowing God through Jesus and emphasize that recognizing Him as Savior does not encompass all His attributes. The differences in wording do not alter the underlying meaning.","We should all come to know God, through Jesus, as our savior. Think back to the names of God (*see the appendix),* just because we know God as savior doesn’t mean we have yet experienced Him as deliverer, healer, counselor, Lord.","We all must come to know God as our Savior through Jesus. Remember the names of God (*see Appendix),* knowing God as ‘Savior’ alone does not mean we have already experienced Him as ‘Redeemer’, ‘Healer’, ‘Counselor’, ‘Lord’."
"27","0.9081","MEDIUM","no","paraphrase","Both paragraphs convey the same core idea that building a relationship with God as Savior enhances one's understanding and trust in His character, allowing for a deeper knowledge of Him. The back-translation maintains the original intent and meaning without significant alteration.","If you are in a spot where you have been persuaded (faith) to know God as your savior, building this relationship will give you the confidence in His character to know Him in other ways.","If you are at a place where, being persuaded (having faith), you have come to know God as your Savior, as this relationship is built your trust in His character grows in such a way that it enables you to know Him in other ways as well."
"31","0.8999","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, simply using different wording. Both phrases convey the idea that faith is nurtured or developed through the Word of God.","### Faith Increases by the Word of God","### Faith grows by the Word of God"
"50","0.8906","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, simply rephrasing it without altering the intent or doctrinal implications.","### Faith Greater Than We Can See","### A faith greater than what we can see"
"62","0.8933","MEDIUM","yes","doctrinal","The original emphasizes faith in demonstrated evidence, while the back-translation shifts focus to belief in what has been shown, potentially altering the understanding of faith's role in receiving encouragement from the Holy Spirit.","If we could only have faith in what we have seen demonstrated, then Paul's encouragement by the Holy Spirit to us would be of no effect:","If we could only believe in what had been shown, then the encouragement given to us by Paul through the Holy Spirit would be rendered ineffective:"
"66","0.8312","LOW","yes","doctrinal","The original paragraph emphasizes the necessity of confidence in God for His peace to protect our hearts, while the back-translation shifts the focus to the inability to trust God, which alters the emphasis on the relationship between trust and peace.","How could God’s peace protect our hearts, if we could not have confidence in Him beyond what we had already seen!?","If we cannot trust Him beyond what we have seen before, how can the peace of God guard our hearts!?"
"92","0.9082","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same meaning as the original, emphasizing that instructions from a boss or supervisor are intended to be followed rather than being mere conversation.","In a work setting when the boss or supervisor is giving instructions, they are not “talking to talk”, rather they are giving directions that they intend their employees to follow.","In a work environment, when a boss or supervisor is giving instructions, they are not “speaking just to speak”; rather, they are giving instructions they want their employees to follow."
"93","0.9086","MEDIUM","no","paraphrase","Both paragraphs convey the same core message about listening to God leading to trust and obedience, with only slight variations in wording that do not alter the overall meaning.","When we really listen to God, it should lead us to action-to trust Him and obey. As the scriptures say in:","When we truly listen to God, it should lead us to action—to trust in Him and obey. The Scriptures say it this way:"
"103","0.9185","MEDIUM","no","paraphrase","Both paragraphs convey the same theological message that salvation is a gift from God received through faith, not earned through works. The back-translation maintains the original intent and meaning without introducing any significant changes.","We do not receive salvation through works! When we receive salvation (through faith) we do works! Let me reiterate that, you cannot work hard enough, or make enough sacrifices to earn your salvation, it is the free gift of God that we receive by faith!","We are not saved by works! When we are saved (by faith), then we do works! Let me stress again, no matter how hard you work, or how much you sacrifice, you cannot earn your salvation; it is the free gift of God, which we receive by faith!"
"119","0.8952","MEDIUM","no","paraphrase","The phrases 'Answered Prayers' and 'Answers to Prayers' convey the same concept of prayers being responded to, without altering the doctrinal meaning or intent.","3.  **Answered Prayers**","3.  **Answers to Prayers**"
"170","0.8142","LOW","yes","doctrinal","The original paragraph frames faith as 'persuasion,' suggesting a more active, cognitive engagement, while the back-translated version presents faith as 'assurance,' implying a more passive, comforting aspect. This shift alters the theological understanding of the nature of faith and its role in the relationship with God.","3.  How does understanding faith as persuasion rather than a mystical force shape your relationship with God?","3.  How does understanding faith as assurance rather than a mysterious power shape your relationship with God?"
